Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Disease activity at study end Show forest plot,2,479,"Std. Mean Difference (IV, Random, 95% CI)","‐0.03 [‐0.25, 0.20]",Patient education and standard care versus standard care,1,-0.03,-0.25,0.2,1,1,,Disease activity at study end Show forest plot
1.1.1 IBD (3 months post intervention),1,179,"Std. Mean Difference (IV, Random, 95% CI)","‐0.26 [‐0.56, 0.03]",Patient education and standard care versus standard care,1,-0.26,-0.56,0.03,1,1,,IBD (3 months post intervention)
1.1.2 CD (TELE‐IBD every other week),1,104,"Std. Mean Difference (IV, Random, 95% CI)","0.13 [‐0.27, 0.54]",Patient education and standard care versus standard care,1,0.13,-0.27,0.54,1,1,,CD (TELE‐IBD every other week)
1.1.3 CD (TELE‐IBD weekly),1,99,"Std. Mean Difference (IV, Random, 95% CI)","‐0.14 [‐0.55, 0.27]",Patient education and standard care versus standard care,1,-0.14,-0.55,0.27,1,1,,CD (TELE‐IBD weekly)
1.1.4 UC (TELE‐IBD every other week),1,48,"Std. Mean Difference (IV, Random, 95% CI)","0.17 [‐0.42, 0.76]",Patient education and standard care versus standard care,1,0.17,-0.42,0.76,1,1,,UC (TELE‐IBD every other week)
1.1.5 UC (TELE‐IBD weekly),1,49,"Std. Mean Difference (IV, Random, 95% CI)","0.35 [‐0.23, 0.94]",Patient education and standard care versus standard care,1,0.35,-0.23,0.94,1,1,,UC (TELE‐IBD weekly)
1.2 Disease activity at study end (fixed‐effect sensitivity analysis) Show forest plot,2,479,"Std. Mean Difference (IV, Fixed, 95% CI)","‐0.05 [‐0.24, 0.13]",Patient education and standard care versus standard care,1,-0.05,-0.24,0.13,1,2,,Disease activity at study end (fixed‐effect sensitivity analysis) Show forest plot
1.2.1 IBD (3 months post intervention),1,179,"Std. Mean Difference (IV, Fixed, 95% CI)","‐0.26 [‐0.56, 0.03]",Patient education and standard care versus standard care,1,-0.26,-0.56,0.03,1,2,,IBD (3 months post intervention)
1.2.2 CD (TELE‐IBD every other week),1,104,"Std. Mean Difference (IV, Fixed, 95% CI)","0.13 [‐0.27, 0.54]",Patient education and standard care versus standard care,1,0.13,-0.27,0.54,1,2,,CD (TELE‐IBD every other week)
1.2.3 CD (TELE‐IBD weekly),1,99,"Std. Mean Difference (IV, Fixed, 95% CI)","‐0.14 [‐0.55, 0.27]",Patient education and standard care versus standard care,1,-0.14,-0.55,0.27,1,2,,CD (TELE‐IBD weekly)
1.2.4 UC (TELE‐IBD every other week),1,48,"Std. Mean Difference (IV, Fixed, 95% CI)","0.17 [‐0.42, 0.76]",Patient education and standard care versus standard care,1,0.17,-0.42,0.76,1,2,,UC (TELE‐IBD every other week)
1.2.5 UC (TELE‐IBD weekly),1,49,"Std. Mean Difference (IV, Fixed, 95% CI)","0.35 [‐0.23, 0.94]",Patient education and standard care versus standard care,1,0.35,-0.23,0.94,1,2,,UC (TELE‐IBD weekly)
1.3 Flare‐ups or relapse (continuous) Show forest plot,2,1022,"Mean Difference (IV, Random, 95% CI)","‐0.00 [‐0.06, 0.05]",Patient education and standard care versus standard care,1,-0.0,-0.06,0.05,1,3,,Flare‐ups or relapse (continuous) Show forest plot
1.4 Flare‐ups or relapse (continuous ‐ fixed‐effect sensitivity analysis) Show forest plot,2,1022,"Mean Difference (IV, Fixed, 95% CI)","‐0.00 [‐0.06, 0.05]",Patient education and standard care versus standard care,1,-0.0,-0.06,0.05,1,4,,Flare‐ups or relapse (continuous ‐ fixed‐effect sensitivity analysis) Show forest plot
1.5 Flare‐ups or relapse (dichotomous) Show forest plot,3,307,"Risk Ratio (M‐H, Random, 95% CI)","0.94 [0.41, 2.18]",Patient education and standard care versus standard care,1,0.94,0.41,2.18,1,5,,Flare‐ups or relapse (dichotomous) Show forest plot
1.6 Flare‐ups or relapse (dichotomous: fixed‐effect sensitivity analysis) Show forest plot,3,307,"Risk Ratio (M‐H, Fixed, 95% CI)","0.96 [0.42, 2.20]",Patient education and standard care versus standard care,1,0.96,0.42,2.2,1,6,,Flare‐ups or relapse (dichotomous: fixed‐effect sensitivity analysis) Show forest plot
1.7 Quality of life at study end Show forest plot,6,1364,"Std. Mean Difference (IV, Random, 95% CI)","0.08 [‐0.03, 0.18]",Patient education and standard care versus standard care,1,0.08,-0.03,0.18,1,7,,Quality of life at study end Show forest plot
