reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD014384-bib-0001,"Branchey MH, Branchey LB, Richardson MA. ",Effects of gradual decrease and discontinuation of neuroleptics on clinical condition and tardive dyskinesia, Psychopharmacology Bulletin ,1981,17,    ,['citation-journal']," Branchey MH, Branchey LB, Richardson MA. Effects of gradual decrease and discontinuation of neuroleptics on clinical condition and tardive dyskinesia.  Psychopharmacology Bulletin 1981;17(1):118-20. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/7232639', 'https://scholar.google.com/scholar_lookup?title=Effects+of+gradual+decrease+and+discontinuation+of+neuroleptics+on+clinical+condition+and+tardive+dyskinesia+&author=MH+Branchey&author=LB+Branchey&author=MA+Richardson&publication_year=1981&hl=en']",7232639,, Branchey 1981 {published data only}  ,included,CD014384-bbs2-0001,,7015884,,,,,,7232639
CD014384-bib-0002,"Branchey MH, Branchey LB, Richardson MA. ",Effects of neuroleptic adjustment on clinical condition and tardive dyskinesia  in schizophrenic patients, American Journal of Psychiatry ,1981,138,    ,['citation-journal']," Branchey MH, Branchey LB, Richardson MA. Effects of neuroleptic adjustment on clinical condition and tardive dyskinesia  in schizophrenic patients.  American Journal of Psychiatry 1981;138(5):608-12. CENTRAL [DOI: 10.1176/ajp.138.5.608]    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/7015884', 'https://scholar.google.com/scholar_lookup?title=Effects+of+neuroleptic+adjustment+on+clinical+condition+and+tardive+dyskinesia+\xa0in+schizophrenic+patients+&author=MH+Branchey&author=LB+Branchey&author=MA+Richardson&publication_year=1981&hl=en']",7015884,, Branchey 1981 {published data only}  ,included,CD014384-bbs2-0001,,7015884,,,,,,7015884
CD014384-bib-0003,"Caffey EM, Forrest IS, Frank TV, Klett CJ. ",Phenothiazine excretion in chronic schizophrenics, American Journal of Psychiatry ,1963,120,    ,['citation-journal']," Caffey EM, Forrest IS, Frank TV, Klett CJ. Phenothiazine excretion in chronic schizophrenics.  American Journal of Psychiatry 1963;120:578-82. CENTRAL [DOI: 10.1176/ajp.120.6.578]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1176/ajp.120.6.578', 'https://www.ncbi.nlm.nih.gov/pubmed/14086436', 'https://scholar.google.com/scholar_lookup?title=Phenothiazine+excretion+in+chronic+schizophrenics&author=EM+Caffey&author=IS+Forrest&author=TV+Frank&author=CJ+Klett&publication_year=1963&hl=en']",14086436,https://doi.org/10.1176/ajp.120.6.578, Caffey 1964 {published data only}  ,included,CD014384-bbs2-0002,,14086436,,14086436,13,,,14086436
CD014384-bib-0004,"Caffey EM Jr, Diamond LS, Frank TV, Grasberger JC, Herman L, Klett CJ, et al. ",Discontinuation or reduction of chemotherapy in chronic schizophrenics, Journal of Chronic Diseases ,1964,17,    ,['citation-journal']," Caffey EM Jr, Diamond LS, Frank TV, Grasberger JC, Herman L, Klett CJ, et al. Discontinuation or reduction of chemotherapy in chronic schizophrenics.  Journal of Chronic Diseases 1964;17(4):347-58. CENTRAL [DOI: 10.1016/0021-9681(64)90075-x]    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/14141840', 'https://scholar.google.com/scholar_lookup?title=Discontinuation+or+reduction+of+chemotherapy+in+chronic+schizophrenics&author=LS+Diamond&author=TV+Frank&author=JC+Grasberger&author=L+Herman&author=CJ+Klett&publication_year=1964&hl=en']",14141840,, Caffey 1964 {published data only}  ,included,CD014384-bbs2-0002,,,,,,,,14141840
CD014384-bib-0005,"Carpenter WT Jr, Buchanan RW, Kirkpatrick B, Lann HD, Breier AF, Summerfelt AT. ",Comparative effectiveness of fluphenazine decanoate injections every 2 weeks versus every 6 weeks, American Journal of Psychiatry ,1999,156,    ,['citation-journal']," Carpenter WT Jr, Buchanan RW, Kirkpatrick B, Lann HD, Breier AF, Summerfelt AT. Comparative effectiveness of fluphenazine decanoate injections every 2 weeks versus every 6 weeks.  American Journal of Psychiatry 1999;156(3):412-8. CENTRAL [DOI: 10.1176/ajp.156.3.412]    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/10080557', 'https://scholar.google.com/scholar_lookup?title=Comparative+effectiveness+of+fluphenazine+decanoate+injections+every+2+weeks+versus+every+6+weeks+&author=RW+Buchanan&author=B+Kirkpatrick&author=HD+Lann&author=AF+Breier&author=AT+Summerfelt&publication_year=1999&hl=en']",10080557,, Carpenter 1999 {published data only}  ,included,CD014384-bbs2-0003,,10080557,10080557,,,,,10080557
CD014384-bib-0006,Cookson IB. ,The effects of a 50% reduction of cis(z)-flupenthixol decanoate in chronic schizophrenic patients maintained on a high dose regime, International Clinical Psychopharmacology ,1987,2,    ,['citation-journal'], Cookson IB. The effects of a 50% reduction of cis(z)-flupenthixol decanoate in chronic schizophrenic patients maintained on a high dose regime.  International Clinical Psychopharmacology 1987;2(2):141-9. CENTRAL [DOI: 10.1097/00004850-198704000-00008]    Link to article     PubMed     Google Scholar     ,"['', 'https://doi.org/10.1097/00004850-198704000-00008', 'https://www.ncbi.nlm.nih.gov/pubmed/3298419', 'https://scholar.google.com/scholar_lookup?title=The+effects+of+a+50%+reduction+of+cis(z)-flupenthixol+decanoate+in+chronic+schizophrenic+patients+maintained+on+a+high+dose+regime+&author=IB+Cookson&publication_year=1987&hl=en']",3298419,https://doi.org/10.1097/00004850-198704000-00008, Cookson 1987 {published data only}  ,included,CD014384-bbs2-0004,,3298419,3298419,,32,,,3298419
CD014384-bib-0007,"Faraone SV, Green AI, Brown W, Yin P, Tsuang, MT. ",Neuroleptic dose reduction in persistently psychotic patients, Hospital and Community Psychiatry ,1989,40,    ,['citation-journal']," Faraone SV, Green AI, Brown W, Yin P, Tsuang, MT. Neuroleptic dose reduction in persistently psychotic patients.  Hospital and Community Psychiatry 1989;40(11):1193-5. CENTRAL [DOI: 10.1176/ps.40.11.1193]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1176/ps.40.11.1193', 'https://www.ncbi.nlm.nih.gov/pubmed/2572532', 'https://scholar.google.com/scholar_lookup?title=Neuroleptic+dose+reduction+in+persistently+psychotic+patients&author=SV+Faraone&author=AI+Green&author=W+Brown&author=P+Yin&publication_year=1989&hl=en']",2572532,https://doi.org/10.1176/ps.40.11.1193, Faraone 1989 {published data only}  ,included,CD014384-bbs2-0005,,2572532,,2572532,12,,,2572532
CD014384-bib-0008,"Baker RA, Eramo A, Nylander AG, Tsai LF, Peters-Strickland TS, Kostic D, et al. ",The effect of previous dose or oral aripiprazole (10 or 30 mg/day) on the efficacy and tolerability of aripiprazole once-monthly: results from post-hoc analyses from two double-blind randomized controlled trials, Schizophrenia Research ,2014,153,    ,['citation-journal']," Baker RA, Eramo A, Nylander AG, Tsai LF, Peters-Strickland TS, Kostic D, et al. The effect of previous dose or oral aripiprazole (10 or 30 mg/day) on the efficacy and tolerability of aripiprazole once-monthly: results from post-hoc analyses from two double-blind randomized controlled trials.  Schizophrenia Research 2014;153(S1):S293. CENTRAL [DOI: 10.1016/S0920-9964(14)70830-8]    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/S0920-9964(14)70830-8', 'https://scholar.google.com/scholar_lookup?title=The+effect+of+previous+dose+or+oral+aripiprazole+(10+or+30+mg/day)+on+the+efficacy+and+tolerability+of+aripiprazole+once-monthly:+results+from+post-hoc+analyses+from+two+double-blind+randomized+controlled+trials+&author=RA+Baker&author=A+Eramo&author=AG+Nylander&author=LF+Tsai&author=TS+Peters-Strickland&author=D+Kostic&publication_year=2014&hl=en']",,https://doi.org/10.1016/S0920-9964(14)70830-8, Fleischhacker 2014 {published and unpublished data}  ,included,CD014384-bbs2-0006,,,,,3,,,
CD014384-bib-0009,"Baker RA, Eramo A, Tsai LF, Peters-Strickland T, Sanchez R. ",P.3.d.033 The effects of aripiprazole once-monthly on the PANSS Marder factors in the treatment of patients with schizophrenia, European Neuropsychopharmacology ,2014,24,    ,['citation-journal']," Baker RA, Eramo A, Tsai LF, Peters-Strickland T, Sanchez R. P.3.d.033 The effects of aripiprazole once-monthly on the PANSS Marder factors in the treatment of patients with schizophrenia.  European Neuropsychopharmacology 2014;24:S541. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/S0924-977X(14)70866-1', 'https://scholar.google.com/scholar_lookup?title=P.3.d.033+The+effects+of+aripiprazole+once-monthly+on+the+PANSS+Marder+factors+in+the+treatment+of+patients+with+schizophrenia+&author=RA+Baker&author=A+Eramo&author=LF+Tsai&author=T+Peters-Strickland&author=R+Sanchez&publication_year=2014&hl=en']",,https://doi.org/10.1016/S0924-977X(14)70866-1, Fleischhacker 2014 {published and unpublished data}  ,included,CD014384-bbs2-0006,,,,,1,,,
CD014384-bib-0010,"De Hert M, Eramo A, Landsberg W, Kostic D, Tsai LF, Baker RA. ",Efficacy and safety of aripiprazole once-monthly in obese and nonobese patients with schizophrenia: a post hoc analysis, Neuropsychiatric Disease and Treatment ,2015,11,    ,['citation-journal']," De Hert M, Eramo A, Landsberg W, Kostic D, Tsai LF, Baker RA. Efficacy and safety of aripiprazole once-monthly in obese and nonobese patients with schizophrenia: a post hoc analysis.  Neuropsychiatric Disease and Treatment 2015;11:1299-306. CENTRAL [DOI: 10.2147/NDT.S80479]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.2147/NDT.S80479', 'https://www.ncbi.nlm.nih.gov/pubmed/26064048', 'https://scholar.google.com/scholar_lookup?title=Efficacy+and+safety+of+aripiprazole+once-monthly+in+obese+and+nonobese+patients+with+schizophrenia:+a+post+hoc+analysis+&author=M+DeHert&author=A+Eramo&author=W+Landsberg&author=D+Kostic&author=LF+Tsai&author=RA+Baker&publication_year=2015&hl=en']",26064048,https://doi.org/10.2147/NDT.S80479, Fleischhacker 2014 {published and unpublished data}  ,included,CD014384-bbs2-0006,,26064048,26064048,26064048,9,https://www.dovepress.com/getfile.php?fileID=25241,,26064048
