Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Service use ‐ readmission to hospital (combined time points) Show forest plot,9,1433,"Risk Ratio (IV, Random, 95% CI)","1.53 [0.84, 2.81]",Dose reduction versus dose maintenance,1,1.53,0.84,2.81,1,1,,Service use ‐ readmission to hospital (combined time points) Show forest plot
1.1.1 Combined time points,9,1433,"Risk Ratio (IV, Random, 95% CI)","1.53 [0.84, 2.81]",Dose reduction versus dose maintenance,1,1.53,0.84,2.81,1,1,,Combined time points
1.2 Service use ‐ readmission to hospital (separated time points) Show forest plot,9,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,2,,Service use ‐ readmission to hospital (separated time points) Show forest plot
1.2.1 < 3 months,3,583,"Risk Ratio (IV, Random, 95% CI)","3.05 [1.46, 6.34]",Dose reduction versus dose maintenance,1,3.05,1.46,6.34,1,2,,< 3 months
1.2.2 < 6 months,5,647,"Risk Ratio (IV, Random, 95% CI)","2.06 [0.88, 4.83]",Dose reduction versus dose maintenance,1,2.06,0.88,4.83,1,2,,< 6 months
1.2.3 < 1 year,3,573,"Risk Ratio (IV, Random, 95% CI)","1.46 [0.24, 9.05]",Dose reduction versus dose maintenance,1,1.46,0.24,9.05,1,2,,< 1 year
1.2.4 > 1 year,1,213,"Risk Ratio (IV, Random, 95% CI)","1.01 [0.64, 1.60]",Dose reduction versus dose maintenance,1,1.01,0.64,1.6,1,2,,> 1 year
1.3 Adverse effect ‐ leaving the study early due to adverse effects ‐ overall tolerability (combined time points) Show forest plot,10,1340,"Risk Ratio (IV, Random, 95% CI)","2.20 [1.39, 3.49]",Dose reduction versus dose maintenance,1,2.2,1.39,3.49,1,3,,Adverse effect ‐ leaving the study early due to adverse effects ‐ overall tolerability (combined time points) Show forest plot
1.3.1 Combined time points,10,1340,"Risk Ratio (IV, Random, 95% CI)","2.20 [1.39, 3.49]",Dose reduction versus dose maintenance,1,2.2,1.39,3.49,1,3,,Combined time points
1.4 Adverse effect ‐ leaving the study early due to adverse effects ‐ overall tolerability (separated time points) Show forest plot,10,,"Risk Ratio (IV, Random, 95% CI)",Subtotals only,Dose reduction versus dose maintenance,1,,,,1,4,,Adverse effect ‐ leaving the study early due to adverse effects ‐ overall tolerability (separated time points) Show forest plot
1.4.1 < 3 months,6,319,"Risk Ratio (IV, Random, 95% CI)","1.06 [0.12, 9.60]",Dose reduction versus dose maintenance,1,1.06,0.12,9.6,1,4,,< 3 months
