Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Service use – readmission to hospital Show forest plot,1,127,"Risk Ratio (IV, Random, 95% CI)","0.75 [0.25, 2.24]",Polypharmacy continuation versus polypharmacy reduction,1,0.75,0.25,2.24,1,1,,Service use – readmission to hospital Show forest plot
1.1.1 At < 6 months,1,127,"Risk Ratio (IV, Random, 95% CI)","0.75 [0.25, 2.24]",Polypharmacy continuation versus polypharmacy reduction,1,0.75,0.25,2.24,1,1,,At < 6 months
1.2 Adverse effects – leaving the study early due to adverse effects – overall tolerability Show forest plot,3,176,"Risk Ratio (IV, Random, 95% CI)","4.37 [0.77, 24.88]",Polypharmacy continuation versus polypharmacy reduction,1,4.37,0.77,24.88,1,2,,Adverse effects – leaving the study early due to adverse effects – overall tolerability Show forest plot
1.2.1 At < 3 months,2,49,"Risk Ratio (IV, Random, 95% CI)","3.00 [0.14, 63.15]",Polypharmacy continuation versus polypharmacy reduction,1,3.0,0.14,63.15,1,2,,At < 3 months
1.2.2 At < 6 months,1,127,"Risk Ratio (IV, Random, 95% CI)","5.24 [0.63, 43.61]",Polypharmacy continuation versus polypharmacy reduction,1,5.24,0.63,43.61,1,2,,At < 6 months
1.3 Functioning – mean endpoint score using Global Assessment of Functioning (high = good) Show forest plot,1,12,"Mean Difference (IV, Random, 95% CI)","0.66 [‐5.89, 7.21]",Polypharmacy continuation versus polypharmacy reduction,1,0.66,-5.89,7.21,1,3,,Functioning – mean endpoint score using Global Assessment of Functioning (high = good) Show forest plot
1.3.1 At < 3 months,1,12,"Mean Difference (IV, Random, 95% CI)","0.66 [‐5.89, 7.21]",Polypharmacy continuation versus polypharmacy reduction,1,0.66,-5.89,7.21,1,3,,At < 3 months
1.4 Functioning – mean change score using Global Assessment of Functioning (high = good) Show forest plot,1,12,"Mean Difference (IV, Random, 95% CI)","‐0.77 [‐2.75, 1.21]",Polypharmacy continuation versus polypharmacy reduction,1,-0.77,-2.75,1.21,1,4,,Functioning – mean change score using Global Assessment of Functioning (high = good) Show forest plot
1.4.1 At < 3 months,1,12,"Mean Difference (IV, Random, 95% CI)","‐0.77 [‐2.75, 1.21]",Polypharmacy continuation versus polypharmacy reduction,1,-0.77,-2.75,1.21,1,4,,At < 3 months
1.5 Global state – clinically important change in global state (improvement) Show forest plot,1,28,"Risk Ratio (IV, Random, 95% CI)","1.11 [0.58, 2.14]",Polypharmacy continuation versus polypharmacy reduction,1,1.11,0.58,2.14,1,5,,Global state – clinically important change in global state (improvement) Show forest plot
1.5.1 At < 3 months,1,28,"Risk Ratio (IV, Random, 95% CI)","1.11 [0.58, 2.14]",Polypharmacy continuation versus polypharmacy reduction,1,1.11,0.58,2.14,1,5,,At < 3 months
