Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Dyspnea: Borg (at submaximal exercise: 50% to 80% of Wmax) Show forest plot,2,202,"Mean Difference (IV, Random, 95% CI)","0.19 [‐0.42, 0.79]",PR+IMT vs PR,1,0.19,-0.42,0.79,1,1,,Dyspnea: Borg (at submaximal exercise: 50% to 80% of Wmax) Show forest plot
1.2 Dyspnea: Modified Medical Research Council (mMRC) Show forest plot,2,204,"Mean Difference (IV, Random, 95% CI)","‐0.12 [‐0.39, 0.14]",PR+IMT vs PR,1,-0.12,-0.39,0.14,1,2,,Dyspnea: Modified Medical Research Council (mMRC) Show forest plot
1.3 Functional exercise capacity: 6‐minute walk distance (6MWD) (meters) Show forest plot,12,1199,"Mean Difference (IV, Random, 95% CI)","5.95 [‐5.73, 17.63]",PR+IMT vs PR,1,5.95,-5.73,17.63,1,3,,Functional exercise capacity: 6‐minute walk distance (6MWD) (meters) Show forest plot
1.4 Functional exercise capacity: 6‐minute walk distance (6MWD) (meters) (subgroup analysis: duration of the intervention) Show forest plot,12,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,PR+IMT vs PR,1,,,,1,4,,Functional exercise capacity: 6‐minute walk distance (6MWD) (meters) (subgroup analysis: duration of the intervention) Show forest plot
1.4.1 Short‐term (<4 weeks),4,687,"Mean Difference (IV, Random, 95% CI)","10.25 [‐24.98, 45.49]",PR+IMT vs PR,1,10.25,-24.98,45.49,1,4,,Short‐term (<4 weeks)
1.4.2 Medium‐term ( ≥4 weeks and <8 weeks),2,178,"Mean Difference (IV, Random, 95% CI)","36.72 [‐67.67, 141.11]",PR+IMT vs PR,1,36.72,-67.67,141.11,1,4,,Medium‐term ( ≥4 weeks and <8 weeks)
1.4.3 Long‐term ( ≥8 weeks),7,363,"Mean Difference (IV, Random, 95% CI)","7.82 [‐6.90, 22.54]",PR+IMT vs PR,1,7.82,-6.9,22.54,1,4,,Long‐term ( ≥8 weeks)
1.5 Functional exercise capacity: 6‐minute walk distance (6MWD) (meters) (subgroup analysis: with or without respiratory muscle weakness) Show forest plot,12,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,PR+IMT vs PR,1,,,,1,5,,Functional exercise capacity: 6‐minute walk distance (6MWD) (meters) (subgroup analysis: with or without respiratory muscle weakness) Show forest plot
1.5.1 With respiratory muscle weakness,3,219,"Mean Difference (IV, Random, 95% CI)","31.17 [‐10.50, 72.84]",PR+IMT vs PR,1,31.17,-10.5,72.84,1,5,,With respiratory muscle weakness
1.5.2 Without respiratory muscle weakness,9,981,"Mean Difference (IV, Random, 95% CI)","0.38 [‐11.65, 12.42]",PR+IMT vs PR,1,0.38,-11.65,12.42,1,5,,Without respiratory muscle weakness
