reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD013640-bib-0001,"Allen CH, Goldman RD, Bhatt S, Simon HK, Gorelick MH, Spandorfer PR, et al. ",A randomized trial of Plasma-Lyte A and 0.9% sodium chloride in acute pediatric gastroenteritis, BMC Pediatrics ,2016,16,    ,['citation-journal']," Allen CH, Goldman RD, Bhatt S, Simon HK, Gorelick MH, Spandorfer PR, et al. A randomized trial of Plasma-Lyte A and 0.9% sodium chloride in acute pediatric gastroenteritis.  BMC Pediatrics 2016;16:117. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/s12887-016-0652-4', 'https://www.ncbi.nlm.nih.gov/pubmed/27480410', 'https://scholar.google.com/scholar_lookup?title=A+randomized+trial+of+Plasma-Lyte+A+and+0.9%+sodium+chloride+in+acute+pediatric+gastroenteritis&author=CH+Allen&author=RD+Goldman&author=S+Bhatt&author=HK+Simon&author=MH+Gorelick&author=PR+Spandorfer&publication_year=2016&hl=en']",27480410,https://doi.org/10.1186/s12887-016-0652-4, Allen 2016 {published data only}  ,included,CD013640-bbs2-0001,,,27480410,27480410,30.0,https://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-016-0652-4,,27480410
CD013640-bib-0002,"Allen CH, Goldman RD, Simon HK, Gorelick MH, Pandorfer PR, David SM, et al. ",Balanced crystalloid or saline in pediatric gastroenteritis: a randomized controlled trial, Academic Emergency Medicine ,2014,21,    ,['citation-journal']," Allen CH, Goldman RD, Simon HK, Gorelick MH, Pandorfer PR, David SM, et al. Balanced crystalloid or saline in pediatric gastroenteritis: a randomized controlled trial.  Academic Emergency Medicine 2014;21(Suppl 1):s196-7. CENTRAL [DOI: 10.1111/acem.12365]    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Balanced+crystalloid+or+saline+in+pediatric+gastroenteritis:+a+randomized+controlled+trial+&author=CH+Allen&author=RD+Goldman&author=HK+Simon&author=MH+Gorelick&author=PR+Pandorfer&author=SM+David&publication_year=2014&hl=en']",,, Allen 2016 {published data only}  ,included,CD013640-bbs2-0001,,,,,,,,
CD013640-bib-0003,NCT01234883. ,Intravenous (IV) solutions for dehydration in children with gastroenteritis,,,,   ,['citation-other'], NCT01234883. Intravenous (IV) solutions for dehydration in children with gastroenteritis. clinicaltrials.gov/ct2/show/NCT01234883 (first received 4 November 2010). CENTRAL    ,[''],,, Allen 2016 {published data only}  ,included,CD013640-bbs2-0001,,27480410,,,,,,27480410
CD013640-bib-0004,CTRI/2015/01/005481. ,Intravenous fluid for children with acute diarrhea,,,,   ,['citation-other']," CTRI/2015/01/005481. Intravenous fluid for children with acute diarrhea. ctri.nic.in/Clinicaltrials/pdf_generate.php?trialid=11041&EncHid=&modid=&compid=%27,%2711041det%27 (first received 30 January 2015). CENTRAL    ",[''],,, Kartha 2017 {published data only}  ,included,CD013640-bbs2-0002,,,,,,,,
CD013640-bib-0005,"Kartha GB, Rameshkumar R, Mahadevan S. ",Randomized double-blind trial of Ringer lactate versus normal saline in pediatric acute severe diarrheal dehydration, Journal of Pediatric Gastroenterology and Nutrition ,2017,65,    ,['citation-journal']," Kartha GB, Rameshkumar R, Mahadevan S. Randomized double-blind trial of Ringer lactate versus normal saline in pediatric acute severe diarrheal dehydration.  Journal of Pediatric Gastroenterology and Nutrition 2017;65(6):621-6. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1097/MPG.0000000000001609', 'https://www.ncbi.nlm.nih.gov/pubmed/28422812', 'https://scholar.google.com/scholar_lookup?title=Randomized+double-blind+trial+of+Ringer+lactate+versus+normal+saline+in+pediatric+acute+severe+diarrheal+dehydration+&author=GB+Kartha&author=R+Rameshkumar&author=S+Mahadevan&publication_year=2017&hl=en']",28422812,https://doi.org/10.1097/MPG.0000000000001609, Kartha 2017 {published data only}  ,included,CD013640-bbs2-0002,,28422812,28422812,28422812,24,,,28422812
CD013640-bib-0006,"Mahajan V, Sajan SS, Sharma A, Kaur J. ",Ringers lactate vs normal saline for children with acute diarrhea and severe dehydration – a double blind randomized controlled trial, Indian Pediatrics ,2012,49,    ,['citation-journal']," Mahajan V, Sajan SS, Sharma A, Kaur J. Ringers lactate vs normal saline for children with acute diarrhea and severe dehydration – a double blind randomized controlled trial.  Indian Pediatrics 2012;49(12):963-8. CENTRAL [PMID: 22791671]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s13312-012-0251-x', 'https://www.ncbi.nlm.nih.gov/pubmed/22791671', 'https://scholar.google.com/scholar_lookup?title=Ringers+lactate+vs+normal+saline+for+children+with+acute+diarrhea+and+severe+dehydration+–+a+double+blind+randomized+controlled+trial+&author=V+Mahajan&author=SS+Sajan&author=A+Sharma&author=J+Kaur&publication_year=2012&hl=en']",22791671,https://doi.org/10.1007/s13312-012-0251-x, Mahajan 2012 {published data only}10.1007/s13312-012-0251-x  ,included,CD013640-bbs2-0003,,22791671,,,30,,,22791671
CD013640-bib-0007, CTRI/2009/091/001084. ,A clinical trial to compare ringer lactate and normal saline for rapid intravenous hydration in children with acute diarrhoea,,,,   ,['citation-other'],"  CTRI/2009/091/001084. A clinical trial to compare ringer lactate and normal saline for rapid intravenous hydration in children with acute diarrhoea. ctri.nic.in/Clinicaltrials/pdf_generate.php?trialid=1212&EncHid=&modid=&compid=%27,%271212det%27 (first received 19 January 2010). CENTRAL    ",[''],,, Mahajan 2012 {published data only}10.1007/s13312-012-0251-x  ,included,CD013640-bbs2-0003,,,,,,,,
CD013640-bib-0008,"Naseem M, Dubey AP, Mishra TK, Singh R. ",Effect of rehydration with normal saline versus Ringer lactate on serum sodium level of children with acute diarrhea and severe dehydration: a randomized controlled trial, Indian Pediatrics ,2020,57,    ,['citation-journal']," Naseem M, Dubey AP, Mishra TK, Singh R. Effect of rehydration with normal saline versus Ringer lactate on serum sodium level of children with acute diarrhea and severe dehydration: a randomized controlled trial.  Indian Pediatrics 2020;57(6):519-22. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s13312-020-1848-0', 'https://www.ncbi.nlm.nih.gov/pubmed/32562395', 'https://scholar.google.com/scholar_lookup?title=Effect+of+rehydration+with+normal+saline+versus+Ringer+lactate+on+serum+sodium+level+of+children+with+acute+diarrhea+and+severe+dehydration:+a+randomized+controlled+trial+&author=M+Naseem&author=AP+Dubey&author=TK+Mishra&author=R+Singh&publication_year=2020&hl=en']",32562395,https://doi.org/10.1007/s13312-020-1848-0, Naseem 2020 {published data only}  ,included,CD013640-bbs2-0004,,32562395,32562395,32562395,8,,,32562395
CD013640-bib-0009,"Rasheed S, Rafique S, Hussain AW, Lodhi MA. ",Comparison of outcome between Ringer's lactate and normal saline fluid replacement in pediatric patients with acute watery diarrhoea, Pakistan Armed Forces Medical Journal ,2020,70,    ,['citation-journal']," Rasheed S, Rafique S, Hussain AW, Lodhi MA. Comparison of outcome between Ringer's lactate and normal saline fluid replacement in pediatric patients with acute watery diarrhoea.  Pakistan Armed Forces Medical Journal 2020;70(Suppl 1):S101-5. CENTRAL    Google Scholar     ","['', ""https://scholar.google.com/scholar_lookup?title=Comparison+of+outcome+between+Ringer's+lactate+and+normal+saline+fluid+replacement+in+pediatric+patients+with+acute+watery+diarrhoea+&author=S+Rasheed&author=S+Rafique&author=AW+Hussain&author=MA+Lodhi&publication_year=2020&hl=en""]",,, Rasheed 2020 {published data only}  ,included,CD013640-bbs2-0005,,,,,,,,
CD013640-bib-0010,"Akech SO, Karisa J, Nakamya P, Boga M, Maitland K. ",Phase II trial of isotonic fluid resuscitation in Kenyan children with severe malnutrition and hypovolaemia, BMC Pediatrics ,2014,10,    ,['citation-journal']," Akech SO, Karisa J, Nakamya P, Boga M, Maitland K. Phase II trial of isotonic fluid resuscitation in Kenyan children with severe malnutrition and hypovolaemia.  BMC Pediatrics 2014;10:71. CENTRAL [DOI: 10.1186/1471-2431-10-71]    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Phase+II+trial+of+isotonic+fluid+resuscitation+in+Kenyan+children+with+severe+malnutrition+and+hypovolaemia+&author=SO+Akech&author=J+Karisa&author=P+Nakamya&author=M+Boga&author=K+Maitland&publication_year=2014&hl=en']",,, Akech 2014 {published data only}  ,excluded,CD013640-bbs2-0006, Ineligible patient population (children with severe malnutrition). ,20923577,20923577,,,,,20923577
CD013640-bib-0011,"Freedman SB, Geary DF. ",Bolus fluid therapy and sodium homeostasis in paediatric gastroenteritis, Journal of Paediatrics and Child Health ,2013,49,    ,['citation-journal']," Freedman SB, Geary DF. Bolus fluid therapy and sodium homeostasis in paediatric gastroenteritis.  Journal of Paediatrics and Child Health 2013;49(3):215-22. CENTRAL [DOI: 10.1111/jpc.12120]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1111/jpc.12120', 'https://www.ncbi.nlm.nih.gov/pubmed/23438262', 'https://scholar.google.com/scholar_lookup?title=Bolus+fluid+therapy+and+sodium+homeostasis+in+paediatric+gastroenteritis&author=SB+Freedman&author=DF+Geary&publication_year=2013&hl=en']",23438262,https://doi.org/10.1111/jpc.12120, Freedman 2013 {published data only}  ,excluded,CD013640-bbs2-0007," Incorrect comparator; authors compared 2 different types of bolus, not comparing rehydration by 1 group or the other.  ",23438262,23438262,23438262,12,,,23438262
CD013640-bib-0012,"Golshekan K, Badeli H, Miri M, Mirzaie M, Hassanzadeh Rad A, Salamat F, et al. ",Suitable intravenous fluid for preventing dysnatremia in children with gastroenteritis; a randomized clinical trial, Journal of Renal Injury Prevention ,2016,5,    ,['citation-journal']," Golshekan K, Badeli H, Miri M, Mirzaie M, Hassanzadeh Rad A, Salamat F, et al. Suitable intravenous fluid for preventing dysnatremia in children with gastroenteritis; a randomized clinical trial.  Journal of Renal Injury Prevention 2016;5(2):69-73. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.15171/jrip.2016.15', 'https://www.ncbi.nlm.nih.gov/pubmed/27471737', 'https://scholar.google.com/scholar_lookup?title=Suitable+intravenous+fluid+for+preventing+dysnatremia+in+children+with+gastroenteritis;+a+randomized+clinical+trial+&author=K+Golshekan&author=H+Badeli&author=M+Miri&author=M+Mirzaie&author=A+HassanzadehRad&author=F+Salamat&publication_year=2016&hl=en']",27471737,https://doi.org/10.15171/jrip.2016.15, Golshekan 2016 {published data only}  ,excluded,CD013640-bbs2-0008, Incorrect intervention (isotonic saline vs hypotonic saline). ,,27471737,27471737,5,http://journalrip.com/PDF/JRIP_20160621104153,,27471737
CD013640-bib-0013,"Houston KA, Gibb J, Olupot-Olupot P, Obonyo N, Mpoya A, Nakuya M, et al. ",Gastroenteritis aggressive versus slow treatment for rehydration (GASTRO): a phase II rehydration trial for severe dehydration: WHO plan C versus slow rehydration, BMC Medicine ,2019,17,    ,['citation-journal']," Houston KA, Gibb J, Olupot-Olupot P, Obonyo N, Mpoya A, Nakuya M, et al. Gastroenteritis aggressive versus slow treatment for rehydration (GASTRO): a phase II rehydration trial for severe dehydration: WHO plan C versus slow rehydration.  BMC Medicine 2019;17(1):122. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/s12916-019-1356-z', 'https://www.ncbi.nlm.nih.gov/pubmed/31256761', 'https://scholar.google.com/scholar_lookup?title=Gastroenteritis+aggressive+versus+slow+treatment+for+rehydration+(GASTRO):+a+phase+II+rehydration+trial+for+severe+dehydration:+WHO+plan+C+versus+slow+rehydration+&author=KA+Houston&author=J+Gibb&author=P+Olupot-Olupot&author=N+Obonyo&author=A+Mpoya&author=M+Nakuya&publication_year=2019&hl=en']",31256761,https://doi.org/10.1186/s12916-019-1356-z, Houston 2019 {published data only}  ,excluded,CD013640-bbs2-0009, Incorrect intervention (slow vs fast rehydration) and different population (children with severe acute malnutrition).  ,,,31256761,18,https://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1356-z,,31256761
CD013640-bib-0014,"Jucá CA, Rey LC, Martins CV. ",Comparison between normal saline and a polyelectrolyte solution for fluid resuscitation in severely dehydrated infants with acute diarrhoea, Annals of Tropical Paediatrics ,2005,25,    ,['citation-journal']," Jucá CA, Rey LC, Martins CV. Comparison between normal saline and a polyelectrolyte solution for fluid resuscitation in severely dehydrated infants with acute diarrhoea.  Annals of Tropical Paediatrics 2005;25(4):253-60. CENTRAL [PMID: 16297299]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1179/146532805X72395', 'https://www.ncbi.nlm.nih.gov/pubmed/16297299', 'https://scholar.google.com/scholar_lookup?title=Comparison+between+normal+saline+and+a+polyelectrolyte+solution+for+fluid+resuscitation+in+severely+dehydrated+infants+with+acute+diarrhoea+&author=CA+Jucá&author=LC+Rey&author=CV+Martins&publication_year=2005&hl=en']",16297299,https://doi.org/10.1179/146532805X72395, Jucá 2005 {published data only}10.1179/146532805X72395  ,excluded,CD013640-bbs2-0010," Incorrect intervention (intervention was a polielectrolyte solution that had a strong ion difference (sodium – chloride) = 14 mEq/L, less than established for considering a balanced solution (> 20 mEq/L)).  ",,,16297299,25,,,16297299
CD013640-bib-0015,"Levy JA, Bachur RG, Monuteaux MC, Waltzman M. ",Intravenous dextrose for children with gastroenteritis and dehydration: a double-blind randomized controlled trial, Annals of Emergency Medicine ,2013,61,    ,['citation-journal']," Levy JA, Bachur RG, Monuteaux MC, Waltzman M. Intravenous dextrose for children with gastroenteritis and dehydration: a double-blind randomized controlled trial.  Annals of Emergency Medicine 2013;61(3):281-8. CENTRAL [DOI: 10.1016/j.annemergmed.2012.08.007]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.annemergmed.2012.08.007', 'https://www.ncbi.nlm.nih.gov/pubmed/22959318', 'https://scholar.google.com/scholar_lookup?title=Intravenous+dextrose+for+children+with+gastroenteritis+and+dehydration:+a+double-blind+randomized+controlled+trial+&author=JA+Levy&author=RG+Bachur&author=MC+Monuteaux&author=M+Waltzman&publication_year=2013&hl=en']",22959318,https://doi.org/10.1016/j.annemergmed.2012.08.007, Levy 2013 {published data only}  ,excluded,CD013640-bbs2-0011, Incorrect intervention (infusion of 5% dextrose in normal saline solution vs normal saline solution). The 5% dextrose in normal saline solution did not meet the criteria to be considered a balanced solution.  ,22959318,,22959318,29,,,22959318
CD013640-bib-0016,"Mahalanabis D, Brayton JB, Mondal A, Pierce NF. ",The use of Ringer's lactate in the treatment of children with cholera and acute noncholera diarrhoea, Bulletin of the World Health Organization ,1972,46,    ,['citation-journal']," Mahalanabis D, Brayton JB, Mondal A, Pierce NF. The use of Ringer's lactate in the treatment of children with cholera and acute noncholera diarrhoea.  Bulletin of the World Health Organization 1972;46(3):311-9. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/4537850', ""https://scholar.google.com/scholar_lookup?title=The+use+of+Ringer's+lactate+in+the+treatment+of+children+with+cholera+and+acute+noncholera+diarrhoea+&author=D+Mahalanabis&author=JB+Brayton&author=A+Mondal&author=NF+Pierce&publication_year=1972&hl=en""]",4537850,, Mahalanabis 1972 {published data only}  ,excluded,CD013640-bbs2-0012, Incorrect comparator (comparing Ringer's lactate vs Ringer's lactate + hypotonic electrolyte solution in 5% glucose).  ,4537850,4537850,,,,,4537850
CD013640-bib-0017,"Neville KA, Verge CF, Rosenberg AR, O'Meara MW, Walker JL. ",Isotonic is better than hypotonic saline for intravenous rehydration of children with gastroenteritis: a prospective randomised study, Archives of Disease in Childhood ,2006,91,    ,['citation-journal']," Neville KA, Verge CF, Rosenberg AR, O'Meara MW, Walker JL. Isotonic is better than hypotonic saline for intravenous rehydration of children with gastroenteritis: a prospective randomised study.  Archives of Disease in Childhood 2006;91(3):226-32. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1136/adc.2005.084103', 'https://www.ncbi.nlm.nih.gov/pubmed/16352625', ""https://scholar.google.com/scholar_lookup?title=Isotonic+is+better+than+hypotonic+saline+for+intravenous+rehydration+of+children+with+gastroenteritis:+a+prospective+randomised+study+&author=KA+Neville&author=CF+Verge&author=AR+Rosenberg&author=MW+O'Meara&author=JL+Walker&publication_year=2006&hl=en""]",16352625,https://doi.org/10.1136/adc.2005.084103, Neville 2006 {published data only}  ,excluded,CD013640-bbs2-0013, Incorrect intervention (hypotonic saline vs isotonic saline). ,16352625,,16352625,148,https://europepmc.org/articles/pmc2065928?pdf=render,,16352625
CD013640-bib-0018,"Rahman O, Bennish ML, Alam AN, Salam MA. ",Rapid intravenous rehydration by means of a single polyelectrolyte solution with or without dextrose, Journal of Pediatrics ,1988,113,    ,['citation-journal']," Rahman O, Bennish ML, Alam AN, Salam MA. Rapid intravenous rehydration by means of a single polyelectrolyte solution with or without dextrose.  Journal of Pediatrics 1988;113(4):654-60. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/S0022-3476(88)80374-3', 'https://www.ncbi.nlm.nih.gov/pubmed/3171790', 'https://scholar.google.com/scholar_lookup?title=Rapid+intravenous+rehydration+by+means+of+a+single+polyelectrolyte+solution+with+or+without+dextrose+&author=O+Rahman&author=ML+Bennish&author=AN+Alam&author=MA+Salam&publication_year=1988&hl=en']",3171790,https://doi.org/10.1016/S0022-3476(88)80374-3, Rahman 1988 {published data only}  ,excluded,CD013640-bbs2-0014, Incorrect comparator (Dhaka solution vs Dhaka solution + dextrose). ,3171790,,3171790,37,,,3171790
CD013640-bib-0019,"Sendarrubias M, Carrón M, Molina JC, Pérez MÁ, Marañón R, Mora A. ",Clinical impact of rapid intravenous rehydration with dextrose serum in children with acute gastroenteritis, Pediatric Emergency Care ,2018,34,    ,['citation-journal']," Sendarrubias M, Carrón M, Molina JC, Pérez MÁ, Marañón R, Mora A. Clinical impact of rapid intravenous rehydration with dextrose serum in children with acute gastroenteritis.  Pediatric Emergency Care 2018;34(12):832-6. CENTRAL [DOI: 10.1097/PEC.0000000000001064]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1097/PEC.0000000000001064', 'https://www.ncbi.nlm.nih.gov/pubmed/28463940', 'https://scholar.google.com/scholar_lookup?title=Clinical+impact+of+rapid+intravenous+rehydration+with+dextrose+serum+in+children+with+acute+gastroenteritis+&author=M+Sendarrubias&author=M+Carrón&author=JC+Molina&author=R+Marañón&author=A+Mora&publication_year=2018&hl=en']",28463940,https://doi.org/10.1097/PEC.0000000000001064, Sendarrubias 2018 {published data only}  ,excluded,CD013640-bbs2-0015, Incorrect comparator (0.9% saline vs glucose 2.5% serum (SGS 2.5%) solution). ,28463940,28463940,28463940,11,,,28463940
CD013640-bib-0020,"Shaikh B, Ghoto S, Langah AU, Zaidi SA, Faisal SF. ",A randomized double blind controlled trial of Ringer's lactate versus normal saline among pediatric patients with acute severe diarrhea, Pakistan Journal of Medical and Health Sciences ,2022,16,    ,['citation-journal']," Shaikh B, Ghoto S, Langah AU, Zaidi SA, Faisal SF. A randomized double blind controlled trial of Ringer's lactate versus normal saline among pediatric patients with acute severe diarrhea.  Pakistan Journal of Medical and Health Sciences 2022;16(3):281-2. CENTRAL [DOI: 10.53350/pjmhs22163281]    Link to article     Google Scholar     ","['', 'https://doi.org/10.53350/pjmhs22163281', ""https://scholar.google.com/scholar_lookup?title=A+randomized+double+blind+controlled+trial+of+Ringer's+lactate+versus+normal+saline+among+pediatric+patients+with+acute+severe+diarrhea+&author=B+Shaikh&author=S+Ghoto&author=AU+Langah&author=SA+Zaidi&author=SF+Faisal&publication_year=2022&hl=en""]",,https://doi.org/10.53350/pjmhs22163281, Shaikh 2022 {published data only}10.53350/pjmhs22163281  ,excluded,CD013640-bbs2-0016," Ineligible. We identified that some results were identical to Mahajan 2012 suggesting this was copied from this paper. Therefore, we excluded this study, and wrote to the editors of the journal to request they flag this paper with an expression of concern.  ",,,,1,https://pjmhsonline.com/index.php/pjmhs/article/download/428/424,,
CD013640-bib-0021,"Akech S, Ayieko P, Gathara D, Agweyu A, Irimu G, Stepniewska K, et al. ","Risk factors for mortality and effect of correct fluid prescription in children with diarrhoea and dehydration without severe acute malnutrition admitted to Kenyan hospitals: an observational, association study", Lancet Child and Adolescent Health ,2018,2,    ,['citation-journal']," Akech S, Ayieko P, Gathara D, Agweyu A, Irimu G, Stepniewska K, et al. Risk factors for mortality and effect of correct fluid prescription in children with diarrhoea and dehydration without severe acute malnutrition admitted to Kenyan hospitals: an observational, association study.  Lancet Child and Adolescent Health 2018;2(7):516-24.    Link to article     PubMed     Google Scholar     ","['https://doi.org/10.1016/S2352-4642(18)30130-5', 'https://www.ncbi.nlm.nih.gov/pubmed/29971245', 'https://scholar.google.com/scholar_lookup?title=Risk+factors+for+mortality+and+effect+of+correct+fluid+prescription+in+children+with+diarrhoea+and+dehydration+without+severe+acute+malnutrition+admitted+to+Kenyan+hospitals:+an+observational,+association+study+&author=S+Akech&author=P+Ayieko&author=D+Gathara&author=A+Agweyu&author=G+Irimu&author=K+Stepniewska&publication_year=2018&hl=en']",29971245,https://doi.org/10.1016/S2352-4642(18)30130-5, Akech 2018 ,additional,CD013640-bbs2-0017,,,29971245,29971245,26,http://www.thelancet.com/article/S2352464218301305/pdf,,29971245
CD013640-bib-0022,"Albano F, Bruzzese E, Bella A, Cascio A, Titone L, Arista S, et al. ",Rotavirus and not age determines gastroenteritis severity in children: a hospital-based study, European Journal of Pediatrics ,2007,166,    ,['citation-journal']," Albano F, Bruzzese E, Bella A, Cascio A, Titone L, Arista S, et al. Rotavirus and not age determines gastroenteritis severity in children: a hospital-based study.  European Journal of Pediatrics 2007;166(3):241-7.    Link to article     PubMed     Google Scholar     ","['https://doi.org/10.1007/s00431-006-0237-6', 'https://www.ncbi.nlm.nih.gov/pubmed/16941130', 'https://scholar.google.com/scholar_lookup?title=Rotavirus+and+not+age+determines+gastroenteritis+severity+in+children:+a+hospital-based+study+&author=F+Albano&author=E+Bruzzese&author=A+Bella&author=A+Cascio&author=L+Titone&author=S+Arista&publication_year=2007&hl=en']",16941130,https://doi.org/10.1007/s00431-006-0237-6, Albano 2007 ,additional,CD013640-bbs2-0018,,,,16941130,64,,,16941130
CD013640-bib-0023,"American Academy of Pediatrics, Subcommittee on Acute Gastroenteritis. ",Practice parameter: the management of acute gastroenteritis in young children, Pediatrics ,1996,97,    ,['citation-journal']," American Academy of Pediatrics, Subcommittee on Acute Gastroenteritis. Practice parameter: the management of acute gastroenteritis in young children.  Pediatrics 1996;97(3):424.    Link to article     PubMed     ","['https://doi.org/10.1542/peds.97.3.424', 'https://www.ncbi.nlm.nih.gov/pubmed/8604285']",8604285,https://doi.org/10.1542/peds.97.3.424, American Academy of Pediatrics 1996 ,additional,CD013640-bbs2-0019,,,,8604285,426,,,8604285
