Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Time in hospital Show forest plot,2,90,"Mean Difference (IV, Random, 95% CI)","‐0.35 [‐0.60, ‐0.10]",Balanced crystalloid solutions versus 0.9% saline,1,-0.35,-0.6,-0.1,1,1,,Time in hospital Show forest plot
1.2 Mortality (during hospitalization) Show forest plot,1,22,"Risk Ratio (M‐H, Random, 95% CI)","0.33 [0.02, 7.39]",Balanced crystalloid solutions versus 0.9% saline,1,0.33,0.02,7.39,1,2,,Mortality (during hospitalization) Show forest plot
1.3 Need for additional fluids Show forest plot,1,22,"Risk Ratio (M‐H, Random, 95% CI)","0.67 [0.26, 1.72]",Balanced crystalloid solutions versus 0.9% saline,1,0.67,0.26,1.72,1,3,,Need for additional fluids Show forest plot
1.4 Total amount of fluids received Show forest plot,2,138,"Mean Difference (IV, Random, 95% CI)","‐2.61 [‐7.36, 2.13]",Balanced crystalloid solutions versus 0.9% saline,1,-2.61,-7.36,2.13,1,4,,Total amount of fluids received Show forest plot
1.5 Final mean pH after correction Show forest plot,4,366,"Mean Difference (IV, Random, 95% CI)","0.06 [0.03, 0.09]",Balanced crystalloid solutions versus 0.9% saline,1,0.06,0.03,0.09,1,5,,Final mean pH after correction Show forest plot
1.6 Final bicarbonate level after correction Show forest plot,5,443,"Mean Difference (IV, Random, 95% CI)","2.44 [0.92, 3.97]",Balanced crystalloid solutions versus 0.9% saline,1,2.44,0.92,3.97,1,6,,Final bicarbonate level after correction Show forest plot
1.7 Change in sodium level after correction Show forest plot,1,70,"Mean Difference (IV, Random, 95% CI)","‐0.70 [‐2.90, 1.50]",Balanced crystalloid solutions versus 0.9% saline,1,-0.7,-2.9,1.5,1,7,,Change in sodium level after correction Show forest plot
1.8 Change in potassium level after correction Show forest plot,1,70,"Mean Difference (IV, Random, 95% CI)","0.00 [‐0.21, 0.21]",Balanced crystalloid solutions versus 0.9% saline,1,0.0,-0.21,0.21,1,8,,Change in potassium level after correction Show forest plot
1.9 Change in creatinine level after correction Show forest plot,1,70,"Mean Difference (IV, Random, 95% CI)","0.10 [‐0.09, 0.29]",Balanced crystalloid solutions versus 0.9% saline,1,0.1,-0.09,0.29,1,9,,Change in creatinine level after correction Show forest plot
1.10 Acute kidney injury at any time Show forest plot,1,68,"Risk Ratio (IV, Fixed, 95% CI)","1.17 [0.44, 3.11]",Balanced crystalloid solutions versus 0.9% saline,1,1.17,0.44,3.11,1,10,,Acute kidney injury at any time Show forest plot
1.11 Adverse events (hyponatraemia) Show forest plot,2,147,"Risk Ratio (M‐H, Random, 95% CI)","1.41 [0.96, 2.07]",Balanced crystalloid solutions versus 0.9% saline,1,1.41,0.96,2.07,1,11,,Adverse events (hyponatraemia) Show forest plot
1.12 Adverse events (hypokalaemia) Show forest plot,2,147,"Risk Ratio (IV, Random, 95% CI)","0.54 [0.31, 0.96]",Balanced crystalloid solutions versus 0.9% saline,1,0.54,0.31,0.96,1,12,,Adverse events (hypokalaemia) Show forest plot
