Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 CAA: total dose of IVIG subgrouped by single or multiple infusion (up to 30 days) Show forest plot,11,1437,"Odds Ratio (M‐H, Random, 95% CI)","0.60 [0.41, 0.87]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.6,0.41,0.87,1,1,,CAA: total dose of IVIG subgrouped by single or multiple infusion (up to 30 days) Show forest plot
1.1.1 100 mg/kg over single infusion,1,211,"Odds Ratio (M‐H, Random, 95% CI)","1.08 [0.60, 1.92]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,1.08,0.6,1.92,1,1,,100 mg/kg over single infusion
1.1.2 1000 mg/kg over single infusion,1,84,"Odds Ratio (M‐H, Random, 95% CI)","0.74 [0.29, 1.90]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.74,0.29,1.9,1,1,,1000 mg/kg over single infusion
1.1.3 600 mg/kg over 3 days,2,153,"Odds Ratio (M‐H, Random, 95% CI)","1.77 [0.58, 5.41]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,1.77,0.58,5.41,1,1,,600 mg/kg over 3 days
1.1.4 1200 mg/kg over 3 days,3,318,"Odds Ratio (M‐H, Random, 95% CI)","0.46 [0.27, 0.76]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.46,0.27,0.76,1,1,,1200 mg/kg over 3 days
1.1.5 1600 mg/kg over 4 days,1,149,"Odds Ratio (M‐H, Random, 95% CI)","0.29 [0.10, 0.84]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.29,0.1,0.84,1,1,,1600 mg/kg over 4 days
1.1.6 500 mg/kg over 5 days,1,256,"Odds Ratio (M‐H, Random, 95% CI)","0.57 [0.30, 1.09]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.57,0.3,1.09,1,1,,500 mg/kg over 5 days
1.1.7 1 g/kg over 5 days,1,72,"Odds Ratio (M‐H, Random, 95% CI)","0.54 [0.13, 2.23]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.54,0.13,2.23,1,1,,1 g/kg over 5 days
1.1.8 1 g/kg over 5 days (no ASA),1,75,"Odds Ratio (M‐H, Random, 95% CI)","0.32 [0.08, 1.34]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.32,0.08,1.34,1,1,,1 g/kg over 5 days (no ASA)
1.1.9 2 g/kg over 5 days,2,119,"Odds Ratio (M‐H, Random, 95% CI)","0.25 [0.10, 0.65]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.25,0.1,0.65,1,1,,2 g/kg over 5 days
1.2 CAA: total dose of IVIG subgrouped by single or multiple infusion (≥ 6 months) Show forest plot,7,679,"Odds Ratio (M‐H, Random, 95% CI)","0.79 [0.45, 1.38]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.79,0.45,1.38,1,2,,CAA: total dose of IVIG subgrouped by single or multiple infusion (≥ 6 months) Show forest plot
1.2.1 100 mg/kg over single infusion,1,211,"Odds Ratio (M‐H, Random, 95% CI)","1.63 [0.43, 6.21]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,1.63,0.43,6.21,1,2,,100 mg/kg over single infusion
1.2.2 1000 mg/kg over single infusion,1,84,"Odds Ratio (M‐H, Random, 95% CI)","0.73 [0.14, 3.87]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.73,0.14,3.87,1,2,,1000 mg/kg over single infusion
1.2.3 600 mg/kg over 3 days,2,153,"Odds Ratio (M‐H, Random, 95% CI)","1.32 [0.45, 3.82]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,1.32,0.45,3.82,1,2,,600 mg/kg over 3 days
1.2.4 1200 mg/kg over 3 days,2,182,"Odds Ratio (M‐H, Random, 95% CI)","0.59 [0.18, 1.92]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.59,0.18,1.92,1,2,,1200 mg/kg over 3 days
1.2.5 1600 mg/kg over 4 days,1,24,"Odds Ratio (M‐H, Random, 95% CI)","0.36 [0.05, 2.37]",Primary treatment ‐ IVIG (and ASA) versus ASA,1,0.36,0.05,2.37,1,2,,1600 mg/kg over 4 days
