Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Improvement in vertigo frequency Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Betahistine versus placebo/no treatment,1,,,,1,1,,Improvement in vertigo frequency Show forest plot
1.1.1 6 to ≤ 12 months,1,70,"Risk Ratio (M‐H, Random, 95% CI)","1.50 [0.98, 2.29]",Betahistine versus placebo/no treatment,1,1.5,0.98,2.29,1,1,,6 to ≤ 12 months
1.1.2 ≥ 12 months,1,62,"Risk Ratio (M‐H, Random, 95% CI)","1.11 [0.93, 1.32]",Betahistine versus placebo/no treatment,1,1.11,0.93,1.32,1,1,,≥ 12 months
1.2 Improvement in vertigo frequency: sensitivity analysis for complete/substantial improvement Show forest plot,1,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Subtotals only,Betahistine versus placebo/no treatment,1,,,,1,2,,Improvement in vertigo frequency: sensitivity analysis for complete/substantial improvement Show forest plot
1.2.1 6 to ≤ 12 months,1,10,"Peto Odds Ratio (Peto, Fixed, 95% CI)","13.08 [1.01, 170.31]",Betahistine versus placebo/no treatment,1,13.08,1.01,170.31,1,2,,6 to ≤ 12 months
1.3 Improvement in vertigo frequency: sensitivity analysis for complete/substantial improvement Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Betahistine versus placebo/no treatment,1,,,,1,3,,Improvement in vertigo frequency: sensitivity analysis for complete/substantial improvement Show forest plot
1.3.1 ≥ 12 months,1,62,"Risk Ratio (M‐H, Random, 95% CI)","1.37 [1.04, 1.81]",Betahistine versus placebo/no treatment,1,1.37,1.04,1.81,1,3,,≥ 12 months
1.4 Change in vertigo global score at 3 to 6 months Show forest plot,1,34,"Mean Difference (IV, Random, 95% CI)","0.70 [‐6.67, 8.07]",Betahistine versus placebo/no treatment,1,0.7,-6.67,8.07,1,4,,Change in vertigo global score at 3 to 6 months Show forest plot
1.5 Change in vertigo frequency Show forest plot,3,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Betahistine versus placebo/no treatment,1,,,,1,5,,Change in vertigo frequency Show forest plot
1.5.1 3 to 6 months,2,117,"Mean Difference (IV, Random, 95% CI)","‐1.90 [‐3.05, ‐0.74]",Betahistine versus placebo/no treatment,1,-1.9,-3.05,-0.74,1,5,,3 to 6 months
1.5.2 6 to ≤ 12 months,1,214,"Mean Difference (IV, Random, 95% CI)","0.63 [‐4.07, 5.33]",Betahistine versus placebo/no treatment,1,0.63,-4.07,5.33,1,5,,6 to ≤ 12 months
1.6 Serious adverse events Show forest plot,1,220,"Risk Ratio (M‐H, Random, 95% CI)","1.20 [0.63, 2.29]",Betahistine versus placebo/no treatment,1,1.2,0.63,2.29,1,6,,Serious adverse events Show forest plot
1.7 Disease‐specific health‐related quality of life at 6 to ≤ 12 months Show forest plot,1,170,"Mean Difference (IV, Random, 95% CI)","0.06 [‐0.17, 0.29]",Betahistine versus placebo/no treatment,1,0.06,-0.17,0.29,1,7,,Disease‐specific health‐related quality of life at 6 to ≤ 12 months Show forest plot
1.8 Disease‐specific health‐related quality of life at > 12 months Show forest plot,1,62,"Risk Ratio (M‐H, Random, 95% CI)","1.34 [1.07, 1.69]",Betahistine versus placebo/no treatment,1,1.34,1.07,1.69,1,8,,Disease‐specific health‐related quality of life at > 12 months Show forest plot
1.9 Change in hearing: continuous data only Show forest plot,3,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Betahistine versus placebo/no treatment,1,,,,1,9,,Change in hearing: continuous data only Show forest plot
1.9.1 3 to < 6 months,1,35,"Mean Difference (IV, Random, 95% CI)","10.10 [‐1.13, 21.33]",Betahistine versus placebo/no treatment,1,10.1,-1.13,21.33,1,9,,3 to < 6 months
1.9.2 6 to ≤ 12 months,1,113,"Mean Difference (IV, Random, 95% CI)","2.64 [‐1.66, 6.94]",Betahistine versus placebo/no treatment,1,2.64,-1.66,6.94,1,9,,6 to ≤ 12 months
1.9.3 > 12 months,1,62,"Mean Difference (IV, Random, 95% CI)","1.40 [‐7.10, 9.90]",Betahistine versus placebo/no treatment,1,1.4,-7.1,9.9,1,9,,> 12 months
1.10 Change in hearing: dichotomous data only Show forest plot,2,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Subtotals only,Betahistine versus placebo/no treatment,1,,,,1,10,,Change in hearing: dichotomous data only Show forest plot
