Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Improvement in vertigo frequency Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Intratympanic corticosteroids versus placebo/no treatment,1,,,,1,1,,Improvement in vertigo frequency Show forest plot
1.1.1 6 to ≤ 12 months,2,60,"Risk Ratio (M‐H, Random, 95% CI)","1.00 [0.92, 1.10]",Intratympanic corticosteroids versus placebo/no treatment,1,1.0,0.92,1.1,1,1,,6 to ≤ 12 months
1.1.2 > 12 months,2,58,"Risk Ratio (M‐H, Random, 95% CI)","1.03 [0.87, 1.23]",Intratympanic corticosteroids versus placebo/no treatment,1,1.03,0.87,1.23,1,1,,> 12 months
1.2 Improvement in vertigo frequency: sensitivity analysis for complete/substantial improvement Show forest plot,3,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Intratympanic corticosteroids versus placebo/no treatment,1,,,,1,2,,Improvement in vertigo frequency: sensitivity analysis for complete/substantial improvement Show forest plot
1.2.1 3 to < 6 months,1,36,"Risk Ratio (M‐H, Random, 95% CI)","1.15 [0.81, 1.64]",Intratympanic corticosteroids versus placebo/no treatment,1,1.15,0.81,1.64,1,2,,3 to < 6 months
1.2.2 6 to ≤ 12 months,3,96,"Risk Ratio (M‐H, Random, 95% CI)","1.23 [1.01, 1.48]",Intratympanic corticosteroids versus placebo/no treatment,1,1.23,1.01,1.48,1,2,,6 to ≤ 12 months
1.2.3 > 12 months,2,58,"Risk Ratio (M‐H, Random, 95% CI)","1.30 [1.02, 1.65]",Intratympanic corticosteroids versus placebo/no treatment,1,1.3,1.02,1.65,1,2,,> 12 months
1.3 Change in vertigo (global score) at 3 to < 6 months Show forest plot,1,44,"Mean Difference (IV, Random, 95% CI)","‐0.13 [‐0.42, 0.16]",Intratympanic corticosteroids versus placebo/no treatment,1,-0.13,-0.42,0.16,1,3,,Change in vertigo (global score) at 3 to < 6 months Show forest plot
1.4 Change in vertigo frequency at 3 to < 6 months Show forest plot,3,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Intratympanic corticosteroids versus placebo/no treatment,1,,,,1,4,,Change in vertigo frequency at 3 to < 6 months Show forest plot
1.4.1 3 to < 6 months,3,,"Mean Difference (IV, Random, 95% CI)","‐0.05 [‐0.07, ‐0.02]",Intratympanic corticosteroids versus placebo/no treatment,1,-0.05,-0.07,-0.02,1,4,,3 to < 6 months
1.5 Change in vertigo frequency at 6 to < 12 months and > 12 months Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Intratympanic corticosteroids versus placebo/no treatment,1,,,,1,5,,Change in vertigo frequency at 6 to < 12 months and > 12 months Show forest plot
1.5.1 6 to ≤ 12 months,1,20,"Mean Difference (IV, Random, 95% CI)","‐0.10 [‐0.79, 0.59]",Intratympanic corticosteroids versus placebo/no treatment,1,-0.1,-0.79,0.59,1,5,,6 to ≤ 12 months
1.5.2 > 12 months,1,18,"Mean Difference (IV, Random, 95% CI)","‐0.07 [‐0.84, 0.70]",Intratympanic corticosteroids versus placebo/no treatment,1,-0.07,-0.84,0.7,1,5,,> 12 months
1.6 Serious adverse events Show forest plot,4,500,"Risk Ratio (M‐H, Random, 95% CI)","0.64 [0.22, 1.85]",Intratympanic corticosteroids versus placebo/no treatment,1,0.64,0.22,1.85,1,6,,Serious adverse events Show forest plot
1.7 Disease‐specific health‐related quality of life Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Intratympanic corticosteroids versus placebo/no treatment,1,,,,1,7,,Disease‐specific health‐related quality of life Show forest plot
1.7.1 6 to ≤ 12 months,1,20,"Mean Difference (IV, Random, 95% CI)","‐0.38 [‐1.56, 0.80]",Intratympanic corticosteroids versus placebo/no treatment,1,-0.38,-1.56,0.8,1,7,,6 to ≤ 12 months
1.7.2 > 12 months,1,18,"Mean Difference (IV, Random, 95% CI)","‐0.45 [‐2.03, 1.13]",Intratympanic corticosteroids versus placebo/no treatment,1,-0.45,-2.03,1.13,1,7,,> 12 months
