Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Clinical failure Show forest plot,3,425,"Risk Ratio (M‐H, Random, 95% CI)","13.39 [3.24, 55.39]",Cefixime versus fluoroquinolone,1,13.39,3.24,55.39,1,1,,Clinical failure Show forest plot
1.1.1 Cefixime versus ofloxacin,2,173,"Risk Ratio (M‐H, Random, 95% CI)","6.91 [0.90, 52.77]",Cefixime versus fluoroquinolone,1,6.91,0.9,52.77,1,1,,Cefixime versus ofloxacin
1.1.2 Cefixime versus gatifloxacin,1,158,"Risk Ratio (M‐H, Random, 95% CI)","25.14 [3.46, 182.78]",Cefixime versus fluoroquinolone,1,25.14,3.46,182.78,1,1,,Cefixime versus gatifloxacin
1.1.3 Cefixime versus ciprofloxacin,1,94,"Risk Ratio (M‐H, Random, 95% CI)",Not estimable,Cefixime versus fluoroquinolone,1,,,,1,1,,Cefixime versus ciprofloxacin
1.2 Microbiological failure Show forest plot,3,425,"Risk Ratio (M‐H, Fixed, 95% CI)","4.07 [0.46, 36.41]",Cefixime versus fluoroquinolone,1,4.07,0.46,36.41,1,2,,Microbiological failure Show forest plot
1.2.1 Cefixime versus ofloxacin,2,173,"Risk Ratio (M‐H, Fixed, 95% CI)","4.33 [0.21, 87.56]",Cefixime versus fluoroquinolone,1,4.33,0.21,87.56,1,2,,Cefixime versus ofloxacin
1.2.2 Cefixime versus gatifloxacin,1,158,"Risk Ratio (M‐H, Fixed, 95% CI)","3.76 [0.16, 90.92]",Cefixime versus fluoroquinolone,1,3.76,0.16,90.92,1,2,,Cefixime versus gatifloxacin
1.2.3 Cefixime versus ciprofloxacin,1,94,"Risk Ratio (M‐H, Fixed, 95% CI)",Not estimable,Cefixime versus fluoroquinolone,1,,,,1,2,,Cefixime versus ciprofloxacin
1.3 Relapse Show forest plot,3,405,"Risk Ratio (M‐H, Fixed, 95% CI)","4.45 [1.11, 17.84]",Cefixime versus fluoroquinolone,1,4.45,1.11,17.84,1,3,,Relapse Show forest plot
1.3.1 Cefixime versus ofloxacin,2,173,"Risk Ratio (M‐H, Fixed, 95% CI)","2.60 [0.11, 62.01]",Cefixime versus fluoroquinolone,1,2.6,0.11,62.01,1,3,,Cefixime versus ofloxacin
