reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD010452-bib-0001,"Acharya G, Butler T, Ho M, Sharma PR, Tiwari M, Adhikari RK, et al. ",Treatment of typhoid fever: randomized trial of a three-day course of ceftriaxone versus a fourteen-day course of chloramphenicol, American Journal of Tropical Medicine and Hygiene ,1995,52,    ,['citation-journal']," Acharya G, Butler T, Ho M, Sharma PR, Tiwari M, Adhikari RK, et al. Treatment of typhoid fever: randomized trial of a three-day course of ceftriaxone versus a fourteen-day course of chloramphenicol.  American Journal of Tropical Medicine and Hygiene 1995;52(2):162-5. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.4269/ajtmh.1995.52.162', 'https://www.ncbi.nlm.nih.gov/pubmed/7872445', 'https://scholar.google.com/scholar_lookup?title=Treatment+of+typhoid+fever:+randomized+trial+of+a+three-day+course+of+ceftriaxone+versus+a+fourteen-day+course+of+chloramphenicol+&author=G+Acharya&author=T+Butler&author=M+Ho&author=PR+Sharma&author=M+Tiwari&author=RK+Adhikari&publication_year=1995&hl=en']",7872445,https://doi.org/10.4269/ajtmh.1995.52.162, Acharya 1995 {published data only}  ,included,CD010452-bbs2-0001,,,7872445,7872445,59.0,,,7872445
CD010452-bib-0002,"Arjyal A, Basnyat B, Nhan HT, Koirala S, Giri A, Joshi MN, et al. ","Gatifloxacin versus ceftriaxone for uncomplicated enteric fever in Nepal: an open-label, two-centre, randomised controlled trial", Lancet Infectious Diseases ,2016,16,    ,['citation-journal']," Arjyal A, Basnyat B, Nhan HT, Koirala S, Giri A, Joshi MN, et al. Gatifloxacin versus ceftriaxone for uncomplicated enteric fever in Nepal: an open-label, two-centre, randomised controlled trial.  Lancet Infectious Diseases 2016;16(5):535-45. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/S1473-3099(15)00530-7', 'https://www.ncbi.nlm.nih.gov/pubmed/26809813', 'https://scholar.google.com/scholar_lookup?title=Gatifloxacin+versus+ceftriaxone+for+uncomplicated+enteric+fever+in+Nepal:+an+open-label,+two-centre,+randomised+controlled+trial+&author=A+Arjyal&author=B+Basnyat&author=HT+Nhan&author=S+Koirala&author=A+Giri&author=MN+Joshi&publication_year=2016&hl=en']",26809813,https://doi.org/10.1016/S1473-3099(15)00530-7, Arjyal 2016 {published data only}  ,included,CD010452-bbs2-0002,,,26809813,26809813,65.0,http://www.thelancet.com/article/S1473309915005307/pdf,,26809813
CD010452-bib-0003,"Bhutta ZA, Khan IA, Molla AM. ",Therapy of multidrug-resistant typhoid fever with oral cefixime vs. intravenous ceftriaxone, Pediatric Infectious Disease Journal ,1994,13,    ,['citation-journal']," Bhutta ZA, Khan IA, Molla AM. Therapy of multidrug-resistant typhoid fever with oral cefixime vs. intravenous ceftriaxone.  Pediatric Infectious Disease Journal 1994;13(11):990-4. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1097/00006454-199411000-00010', 'https://www.ncbi.nlm.nih.gov/pubmed/7845753', 'https://scholar.google.com/scholar_lookup?title=Therapy+of+multidrug-resistant+typhoid+fever+with+oral+cefixime+vs.+intravenous+ceftriaxone&author=ZA+Bhutta&author=IA+Khan&author=AM+Molla&publication_year=1994&hl=en']",7845753,https://doi.org/10.1097/00006454-199411000-00010, Bhutta 1994 {published data only}  ,included,CD010452-bbs2-0003,,7845753,7845753,7845753,65.0,,,7845753
CD010452-bib-0004,"Bhutta ZA, Mansoorali N, Hussain R. ",Plasma cytokines in paediatric typhoidal salmonellosis: correlation with clinical course and outcome, Journal of Infection ,1997,35,    ,['citation-journal']," Bhutta ZA, Mansoorali N, Hussain R. Plasma cytokines in paediatric typhoidal salmonellosis: correlation with clinical course and outcome.  Journal of Infection 1997;35(3):253-6. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/S0163-4453(97)93004-8', 'https://www.ncbi.nlm.nih.gov/pubmed/9459398', 'https://scholar.google.com/scholar_lookup?title=Plasma+cytokines+in+paediatric+typhoidal+salmonellosis:+correlation+with+clinical+course+and+outcome+&author=ZA+Bhutta&author=N+Mansoorali&author=R+Hussain&publication_year=1997&hl=en']",9459398,https://doi.org/10.1016/S0163-4453(97)93004-8, Bhutta 1994 {published data only}  ,included,CD010452-bbs2-0003,,9459398,9459398,9459398,39.0,,,9459398
CD010452-bib-0005,"Bhutta ZA, Khan IA, Shadmani M. ",Failure of short-course ceftriaxone chemotherapy for multidrug-resistant typhoid fever in children: a randomized controlled trial in Pakistan, Antimicrobial Agents and Chemotherapy ,2000,44,    ,['citation-journal']," Bhutta ZA, Khan IA, Shadmani M. Failure of short-course ceftriaxone chemotherapy for multidrug-resistant typhoid fever in children: a randomized controlled trial in Pakistan.  Antimicrobial Agents and Chemotherapy 2000;44(2):450-2. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1128/AAC.44.2.450-452.2000', 'https://www.ncbi.nlm.nih.gov/pubmed/10639383', 'https://scholar.google.com/scholar_lookup?title=Failure+of+short-course+ceftriaxone+chemotherapy+for+multidrug-resistant+typhoid+fever+in+children:+a+randomized+controlled+trial+in+Pakistan+&author=ZA+Bhutta&author=IA+Khan&author=M+Shadmani&publication_year=2000&hl=en']",10639383,https://doi.org/10.1128/AAC.44.2.450-452.2000, Bhutta 2000 {published data only}  ,included,CD010452-bbs2-0004,,10639383,10639383,10639383,59.0,https://journals.asm.org/doi/pdf/10.1128/AAC.44.2.450-452.2000,,10639383
CD010452-bib-0006,"Butler T, Ho M, Acharya G, Tiwari M, Gallati H. ","Interleukin-6, gamma interferon, and tumor necrosis factor receptors in typhoid fever related to outcome of antimicrobial therapy", Antimicrobial Agents and Chemotherapy ,1993,37,    ,['citation-journal']," Butler T, Ho M, Acharya G, Tiwari M, Gallati H. Interleukin-6, gamma interferon, and tumor necrosis factor receptors in typhoid fever related to outcome of antimicrobial therapy.  Antimicrobial Agents and Chemotherapy 1993;37(11):2418-21. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1128/AAC.37.11.2418', 'https://www.ncbi.nlm.nih.gov/pubmed/8285627', 'https://scholar.google.com/scholar_lookup?title=Interleukin-6,+gamma+interferon,+and+tumor+necrosis+factor+receptors+in+typhoid+fever+related+to+outcome+of+antimicrobial+therapy+&author=T+Butler&author=M+Ho&author=G+Acharya&author=M+Tiwari&author=H+Gallati&publication_year=1993&hl=en']",8285627,https://doi.org/10.1128/AAC.37.11.2418, Butler 1993 {published data only}  ,included,CD010452-bbs2-0005,,8285627,8285627,8285627,65.0,https://europepmc.org/articles/pmc192401?pdf=render,,8285627
CD010452-bib-0007,"Cao XT, Kneen R, Nguyen TA, Truong DL, White NJ, Parry CM. ",A comparative study of ofloxacin and cefixime for treatment of typhoid fever in children. The Dong Nai Pediatric Center Typhoid Study Group, Paediatric Infectious Disease Journal ,1999,18,    ,['citation-journal']," Cao XT, Kneen R, Nguyen TA, Truong DL, White NJ, Parry CM. A comparative study of ofloxacin and cefixime for treatment of typhoid fever in children. The Dong Nai Pediatric Center Typhoid Study Group.  Paediatric Infectious Disease Journal 1999;18(3):245-8. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=A+comparative+study+of+ofloxacin+and+cefixime+for+treatment+of+typhoid+fever+in+children.+The+Dong+Nai+Pediatric+Center+Typhoid+Study+Group+&author=XT+Cao&author=R+Kneen&author=TA+Nguyen&author=DL+Truong&author=NJ+White&author=CM+Parry&publication_year=1999&hl=en']",,, Cao 1999 {published data only}  ,included,CD010452-bbs2-0006,,,,,,,,
CD010452-bib-0008,"Frenck RW Jr, Nakhla I, Sultan Y, Bassily SB, Girgis YF, David J, et al. ",Azithromycin versus ceftriaxone for the treatment of uncomplicated typhoid fever in children, Clinical Infectious Diseases ,2000,31,    ,['citation-journal']," Frenck RW Jr, Nakhla I, Sultan Y, Bassily SB, Girgis YF, David J, et al. Azithromycin versus ceftriaxone for the treatment of uncomplicated typhoid fever in children.  Clinical Infectious Diseases 2000;31(5):1134-8. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/11073741', 'https://scholar.google.com/scholar_lookup?title=Azithromycin+versus+ceftriaxone+for+the+treatment+of+uncomplicated+typhoid+fever+in+children+&author=I+Nakhla&author=Y+Sultan&author=SB+Bassily&author=YF+Girgis&author=J+David&publication_year=2000&hl=en']",11073741,, Frenck 2000 {published data only}  ,included,CD010452-bbs2-0007,,,11073741,,,,,11073741
CD010452-bib-0009,"Frenck RW Jr, Mansour A, Nakhla I, Sultan Y, Putnam S, Wierzba T, et al. ",Short-course azithromycin for the treatment of uncomplicated typhoid fever in children and adolescents, Clinical Infectious Diseases ,2004,38,    ,['citation-journal']," Frenck RW Jr, Mansour A, Nakhla I, Sultan Y, Putnam S, Wierzba T, et al. Short-course azithromycin for the treatment of uncomplicated typhoid fever in children and adolescents.  Clinical Infectious Diseases 2004;38(7):951-7. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/15034826', 'https://scholar.google.com/scholar_lookup?title=Short-course+azithromycin+for+the+treatment+of+uncomplicated+typhoid+fever+in+children+and+adolescents+&author=A+Mansour&author=I+Nakhla&author=Y+Sultan&author=S+Putnam&author=T+Wierzba&publication_year=2004&hl=en']",15034826,, Frenck 2004 {published data only}  ,included,CD010452-bbs2-0008,,,15034826,,,,,15034826
CD010452-bib-0010,"Girgis NI, Kilpatrick ME, Farid Z, Mikhail IA, Bishay E. ",Ceftriaxone versus chloramphenicol in the treatment of enteric fever, Drugs under Experimental and Clinical Research ,1990,16,    ,['citation-journal']," Girgis NI, Kilpatrick ME, Farid Z, Mikhail IA, Bishay E. Ceftriaxone versus chloramphenicol in the treatment of enteric fever.  Drugs under Experimental and Clinical Research 1990;16(12):607-9. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/2130002', 'https://scholar.google.com/scholar_lookup?title=Ceftriaxone+versus+chloramphenicol+in+the+treatment+of+enteric+fever&author=NI+Girgis&author=ME+Kilpatrick&author=Z+Farid&author=IA+Mikhail&author=E+Bishay&publication_year=1990&hl=en']",2130002,, Girgis 1990 {published data only}  ,included,CD010452-bbs2-0009,,2130002,,,,,,2130002
