Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Number of red blood cells (units) transfused per participant up to 30 days post surgery Show forest plot,3,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Systemic drug treatments,1,,,,1,1,,Number of red blood cells (units) transfused per participant up to 30 days post surgery Show forest plot
1.1.1 Aprotinin vs placebo,1,35,"Mean Difference (IV, Random, 95% CI)","‐1.56 [‐5.65, 2.53]",Systemic drug treatments,1,-1.56,-5.65,2.53,1,1,,Aprotinin vs placebo
1.1.2 Desmopressin vs placebo,2,135,"Mean Difference (IV, Random, 95% CI)","‐0.23 [‐0.87, 0.42]",Systemic drug treatments,1,-0.23,-0.87,0.42,1,1,,Desmopressin vs placebo
1.2 All‐cause mortality at up to 30 days Show forest plot,5,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Systemic drug treatments,1,,,,1,2,,All‐cause mortality at up to 30 days Show forest plot
1.2.1 Aprotinin vs placebo,3,244,"Risk Ratio (M‐H, Random, 95% CI)","0.96 [0.61, 1.52]",Systemic drug treatments,1,0.96,0.61,1.52,1,2,,Aprotinin vs placebo
1.2.2 Desmopressin vs placebo,1,91,"Risk Ratio (M‐H, Random, 95% CI)","5.57 [0.27, 112.85]",Systemic drug treatments,1,5.57,0.27,112.85,1,2,,Desmopressin vs placebo
1.2.3 Tranexamic acid vs placebo,1,100,"Risk Ratio (M‐H, Random, 95% CI)",Not estimable,Systemic drug treatments,1,,,,1,2,,Tranexamic acid vs placebo
1.3 Risk of receiving any allogeneic blood product at up to 30 days post surgery Show forest plot,1,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,3,,Risk of receiving any allogeneic blood product at up to 30 days post surgery Show forest plot
1.3.1 Tranexamic acid vs placebo,1,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,3,,Tranexamic acid vs placebo
1.4 Risk of reoperation or repeat procedure for bleeding within 7 days Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,4,,Risk of reoperation or repeat procedure for bleeding within 7 days Show forest plot
1.4.1 Aprotinin vs placebo,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,4,,Aprotinin vs placebo
1.4.2 Tranexamic acid vs placebo,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,4,,Tranexamic acid vs placebo
"1.5 Risk of a thrombotic/thromboembolic event (MI, CVA, DVT, PE) up to 30‐day follow‐up Show forest plot",2,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,5,,"Risk of a thrombotic/thromboembolic event (MI, CVA, DVT, PE) up to 30‐day follow‐up Show forest plot"
1.5.1 Desmopressin vs placebo,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,5,,Desmopressin vs placebo
1.5.2 Tranexamic acid vs placebo,1,,"Risk Ratio (M‐H, Random, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,5,,Tranexamic acid vs placebo
1.6 Risk of myocardial infarction up to 30 days Show forest plot,4,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Subtotals only,Systemic drug treatments,1,,,,1,6,,Risk of myocardial infarction up to 30 days Show forest plot
1.6.1 Aprotinin vs placebo,2,209,"Peto Odds Ratio (Peto, Fixed, 95% CI)","0.41 [0.09, 1.82]",Systemic drug treatments,1,0.41,0.09,1.82,1,6,,Aprotinin vs placebo
1.6.2 Desmopressin vs placebo,1,91,"Peto Odds Ratio (Peto, Fixed, 95% CI)","0.55 [0.11, 2.88]",Systemic drug treatments,1,0.55,0.11,2.88,1,6,,Desmopressin vs placebo
1.6.3 Tranexamic acid vs placebo,1,100,"Peto Odds Ratio (Peto, Fixed, 95% CI)","1.00 [0.14, 7.32]",Systemic drug treatments,1,1.0,0.14,7.32,1,6,,Tranexamic acid vs placebo
1.7 Risk of CVA or stroke up to 30 days Show forest plot,2,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Subtotals only,Systemic drug treatments,1,,,,1,7,,Risk of CVA or stroke up to 30 days Show forest plot
1.7.1 Aprotinin vs placebo,2,209,"Peto Odds Ratio (Peto, Fixed, 95% CI)","0.36 [0.05, 2.62]",Systemic drug treatments,1,0.36,0.05,2.62,1,7,,Aprotinin vs placebo
1.8 Risk of deep vein thrombosis up to 90 days Show forest plot,2,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,8,,Risk of deep vein thrombosis up to 90 days Show forest plot
1.8.1 Aprotinin vs placebo,1,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,8,,Aprotinin vs placebo
1.8.2 Desmopressin vs placebo,1,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,8,,Desmopressin vs placebo
1.9 Risk of pulmonary embolism up to 90 days Show forest plot,3,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,9,,Risk of pulmonary embolism up to 90 days Show forest plot
1.9.1 Aprotinin vs placebo,1,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,9,,Aprotinin vs placebo
1.9.2 Desmopressin vs placebo,1,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Totals not selected,Systemic drug treatments,1,,,,1,9,,Desmopressin vs placebo
