reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD013080-bib-0001,"Anude CJ, Eze E, Onyegbutulem HC, Charurat M, Etiebet MA, Ajayi S, et al. ",Immuno-virologic outcomes and immuno-virologic discordance among adults alive and on anti-retroviral therapy at 12 months in Nigeria, BMC Infectious Diseases ,2013,13,    ,['citation-journal']," Anude CJ, Eze E, Onyegbutulem HC, Charurat M, Etiebet MA, Ajayi S, et al. Immuno-virologic outcomes and immuno-virologic discordance among adults alive and on anti-retroviral therapy at 12 months in Nigeria.  BMC Infectious Diseases 2013;13:113. CENTRAL [DOI: 10.1186/1471-2334-13-113]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/1471-2334-13-113', 'https://www.ncbi.nlm.nih.gov/pubmed/23452915', 'https://scholar.google.com/scholar_lookup?title=Immuno-virologic+outcomes+and+immuno-virologic+discordance+among+adults+alive+and+on+anti-retroviral+therapy+at+12+months+in+Nigeria+&author=CJ+Anude&author=E+Eze&author=HC+Onyegbutulem&author=M+Charurat&author=MA+Etiebet&author=S+Ajayi&publication_year=2013&hl=en']",23452915,https://doi.org/10.1186/1471-2334-13-113, Anude 2013 {published data only}  ,included,CD013080-bbs2-0001,,23452915,23452915,87.0,https://bmcinfectdis.biomedcentral.com/counter/pdf/10.1186/1471-2334-13-113,,23452915
CD013080-bib-0002,"Apisarnthanarak A, Mundy LM. ",Long-term outcomes of HIV-infected patients with <95% rates of adherence to nonnucleoside reverse-transcriptase inhibitors, Clinical Infectious Diseases ,2010,51,    ,['citation-journal']," Apisarnthanarak A, Mundy LM. Long-term outcomes of HIV-infected patients with <95% rates of adherence to nonnucleoside reverse-transcriptase inhibitors.  Clinical Infectious Diseases 2010;51(1):115-7. CENTRAL [DOI: 10.1086/653445]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1086/653445', 'https://www.ncbi.nlm.nih.gov/pubmed/20518676', 'https://scholar.google.com/scholar_lookup?title=Long-term+outcomes+of+HIV-infected+patients+with+<95%+rates+of+adherence+to+nonnucleoside+reverse-transcriptase+inhibitors+&author=A+Apisarnthanarak&author=LM+Mundy&publication_year=2010&hl=en']",20518676,https://doi.org/10.1086/653445, Apisarnthanarak 2010 {published data only}  ,included,CD013080-bbs2-0002,20518676,20518676,20518676,19.0,https://academic.oup.com/cid/article-pdf/51/1/115/843691/51-1-115a.pdf,,20518676
CD013080-bib-0003,"Avong YK, Van Wyk B, Njab J, Abimiku AG, Ndembi N, Okuma J, et al. ",Adherence to anti-retroviral therapy in North Central Nigeria, Current HIV Research ,2015,13,    ,['citation-journal']," Avong YK, Van Wyk B, Njab J, Abimiku AG, Ndembi N, Okuma J, et al. Adherence to anti-retroviral therapy in North Central Nigeria.  Current HIV Research 2015;13(4):268-78. CENTRAL [DOI: 10.2174/1570162x13666150202094120]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.2174/1570162X13666150202094120', 'https://www.ncbi.nlm.nih.gov/pubmed/25642849', 'https://scholar.google.com/scholar_lookup?title=Adherence+to+anti-retroviral+therapy+in+North+Central+Nigeria&author=YK+Avong&author=B+VanWyk&author=J+Njab&author=AG+Abimiku&author=N+Ndembi&author=J+Okuma&publication_year=2015&hl=en']",25642849,https://doi.org/10.2174/1570162X13666150202094120, Avong 2015 {published data only}  ,included,CD013080-bbs2-0003,,,25642849,10.0,,,25642849
CD013080-bib-0004,"Bajunirwe F, Arts EJ, Tisch DJ, King CH, Debanne SM, Sethi AK. ",Adherence and treatment response among HIV-1-infected adults receiving antiretroviral therapy in a rural government hospital in Southwestern Uganda, Journal of the International Association of Physicians in AIDS Care ,2009,8,    ,['citation-journal']," Bajunirwe F, Arts EJ, Tisch DJ, King CH, Debanne SM, Sethi AK. Adherence and treatment response among HIV-1-infected adults receiving antiretroviral therapy in a rural government hospital in Southwestern Uganda.  Journal of the International Association of Physicians in AIDS Care 2009;8(2):139-47. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1177/1545109709332470', 'https://www.ncbi.nlm.nih.gov/pubmed/19258526', 'https://scholar.google.com/scholar_lookup?title=Adherence+and+treatment+response+among+HIV-1-infected+adults+receiving+antiretroviral+therapy+in+a+rural+government+hospital+in+Southwestern+Uganda+&author=F+Bajunirwe&author=EJ+Arts&author=DJ+Tisch&author=CH+King&author=SM+Debanne&author=AK+Sethi&publication_year=2009&hl=en']",19258526,https://doi.org/10.1177/1545109709332470, Bajunirwe 2009 {published data only}  ,included,CD013080-bbs2-0004,,,19258526,64.0,https://journals.sagepub.com/doi/pdf/10.1177/1545109709332470,,19258526
CD013080-bib-0005,"Bonjoch A, Paredes R, Domingo P, Cervantes M, Pedrol E, Ribera E, et al. ",Long-term safety and efficacy of nevirapine-based approaches in HIV type 1-infected patients, AIDS Research and Human Retroviruses ,2006,22,    ,['citation-journal']," Bonjoch A, Paredes R, Domingo P, Cervantes M, Pedrol E, Ribera E, et al. Long-term safety and efficacy of nevirapine-based approaches in HIV type 1-infected patients.  AIDS Research and Human Retroviruses 2006;22(4):321-9. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1089/aid.2006.22.321', 'https://www.ncbi.nlm.nih.gov/pubmed/16623634', 'https://scholar.google.com/scholar_lookup?title=Long-term+safety+and+efficacy+of+nevirapine-based+approaches+in+HIV+type+1-infected+patients+&author=A+Bonjoch&author=R+Paredes&author=P+Domingo&author=M+Cervantes&author=E+Pedrol&author=E+Ribera&publication_year=2006&hl=en']",16623634,https://doi.org/10.1089/aid.2006.22.321, Bonjoch 2006 {published data only}  ,included,CD013080-bbs2-0005,,16623634,16623634,44.0,,,16623634
CD013080-bib-0006,"Cerutti B, Broers B, Masetsibi M, Faturiyele O, Toti-Mokoteli L, Motlatsi M, et al. ","Alcohol use and depression: link with adherence and viral suppression in adult patients on antiretroviral therapy in rural Lesotho, Southern Africa: a cross-sectional study", BMC Public Health ,2016,16,    ,['citation-journal']," Cerutti B, Broers B, Masetsibi M, Faturiyele O, Toti-Mokoteli L, Motlatsi M, et al. Alcohol use and depression: link with adherence and viral suppression in adult patients on antiretroviral therapy in rural Lesotho, Southern Africa: a cross-sectional study.  BMC Public Health 2016;16:947. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/s12889-016-3209-4', 'https://www.ncbi.nlm.nih.gov/pubmed/27608764', 'https://scholar.google.com/scholar_lookup?title=Alcohol+use+and+depression:+link+with+adherence+and+viral+suppression+in+adult+patients+on+antiretroviral+therapy+in+rural+Lesotho,+Southern+Africa:+a+cross-sectional+study+&author=B+Cerutti&author=B+Broers&author=M+Masetsibi&author=O+Faturiyele&author=L+Toti-Mokoteli&author=M+Motlatsi&publication_year=2016&hl=en']",27608764,https://doi.org/10.1186/s12889-016-3209-4, Cerutti 2016 {published data only}  ,included,CD013080-bbs2-0006,,27608764,27608764,23.0,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-016-3209-4,,27608764
CD013080-bib-0007,"Cohen CJ, Molina JM, Cahn P, Clotet B, Fourie J, Grinsztejn B, et al. ",Efficacy and safety of rilpivirine (TMC278) versus efavirenz at 48 weeks in treatment-naive HIV-1-infected patients: pooled results from the phase 3 double-blind randomized ECHO and THRIVE trials, Journal of Acquired Immune Deficiency Syndromes ,2012,60,    ,['citation-journal']," Cohen CJ, Molina JM, Cahn P, Clotet B, Fourie J, Grinsztejn B, et al. Efficacy and safety of rilpivirine (TMC278) versus efavirenz at 48 weeks in treatment-naive HIV-1-infected patients: pooled results from the phase 3 double-blind randomized ECHO and THRIVE trials.  Journal of Acquired Immune Deficiency Syndromes 2012;60(1):33-42. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1097/QAI.0b013e31824d006e', 'https://www.ncbi.nlm.nih.gov/pubmed/22343174', 'https://scholar.google.com/scholar_lookup?title=Efficacy+and+safety+of+rilpivirine+(TMC278)+versus+efavirenz+at+48+weeks+in+treatment-naive+HIV-1-infected+patients:+pooled+results+from+the+phase+3+double-blind+randomized+ECHO+and+THRIVE+trials+&author=CJ+Cohen&author=JM+Molina&author=P+Cahn&author=B+Clotet&author=J+Fourie&author=B+Grinsztejn&publication_year=2012&hl=en']",22343174,https://doi.org/10.1097/QAI.0b013e31824d006e, Cohen 2012 {published data only}  ,included,CD013080-bbs2-0007,,,22343174,156.0,https://doi.org/10.1097/qai.0b013e31824d006e,,22343174
CD013080-bib-0008,"Coker M, Etiebet MA, Chang H, Awwal G, Jumare J, Musa BM, et al. ",Socio-demographic and adherence factors associated with viral load suppression in HIV-infected adults initiating therapy in Northern Nigeria: a randomized controlled trial of a peer support intervention, Current HIV Research ,2015,13,    ,['citation-journal']," Coker M, Etiebet MA, Chang H, Awwal G, Jumare J, Musa BM, et al. Socio-demographic and adherence factors associated with viral load suppression in HIV-infected adults initiating therapy in Northern Nigeria: a randomized controlled trial of a peer support intervention.  Current HIV Research 2015;13(4):279-85. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.2174/1570162X13666150407143838', 'https://www.ncbi.nlm.nih.gov/pubmed/25845393', 'https://scholar.google.com/scholar_lookup?title=Socio-demographic+and+adherence+factors+associated+with+viral+load+suppression+in+HIV-infected+adults+initiating+therapy+in+Northern+Nigeria:+a+randomized+controlled+trial+of+a+peer+support+intervention+&author=M+Coker&author=MA+Etiebet&author=H+Chang&author=G+Awwal&author=J+Jumare&author=BM+Musa&publication_year=2015&hl=en']",25845393,https://doi.org/10.2174/1570162X13666150407143838, Coker 2015 {published data only}  ,included,CD013080-bbs2-0008,,,25845393,28.0,,,25845393
CD013080-bib-0009,"Davies MA, Boulle A, Fakir T, Nuttall J, Eley B. ","Adherence to antiretroviral therapy in young children in Cape Town, South Africa, measured by medication return and caregiver self-report: a prospective cohort study", BMC Pediatrics ,2008,8,    ,['citation-journal']," Davies MA, Boulle A, Fakir T, Nuttall J, Eley B. Adherence to antiretroviral therapy in young children in Cape Town, South Africa, measured by medication return and caregiver self-report: a prospective cohort study.  BMC Pediatrics 2008;8:34. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/1471-2431-8-34', 'https://www.ncbi.nlm.nih.gov/pubmed/18771599', 'https://scholar.google.com/scholar_lookup?title=Adherence+to+antiretroviral+therapy+in+young+children+in+Cape+Town,+South+Africa,+measured+by+medication+return+and+caregiver+self-report:+a+prospective+cohort+study+&author=MA+Davies&author=A+Boulle&author=T+Fakir&author=J+Nuttall&author=B+Eley&publication_year=2008&hl=en']",18771599,https://doi.org/10.1186/1471-2431-8-34, Davies 2008 {published data only}  ,included,CD013080-bbs2-0009,,,18771599,119.0,https://bmcpediatr.biomedcentral.com/counter/pdf/10.1186/1471-2431-8-34,,18771599
CD013080-bib-0010,"Duarte HA, Harris DR, Tassiopoulos K, Leister E, Negrini SF, Ferreira FF, et al. ",Relationship between viral load and behavioral measures of adherence to antiretroviral therapy in children living with human immunodeficiency virus in Latin America, Brazilian Journal of Infectious Diseases ,2015,19,    ,['citation-journal']," Duarte HA, Harris DR, Tassiopoulos K, Leister E, Negrini SF, Ferreira FF, et al. Relationship between viral load and behavioral measures of adherence to antiretroviral therapy in children living with human immunodeficiency virus in Latin America.  Brazilian Journal of Infectious Diseases 2015;19(3):263-71. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/j.bjid.2015.01.004', 'https://scholar.google.com/scholar_lookup?title=Relationship+between+viral+load+and+behavioral+measures+of+adherence+to+antiretroviral+therapy+in+children+living+with+human+immunodeficiency+virus+in+Latin+America+&author=HA+Duarte&author=DR+Harris&author=K+Tassiopoulos&author=E+Leister&author=SF+Negrini&author=FF+Ferreira&publication_year=2015&hl=en']",,https://doi.org/10.1016/j.bjid.2015.01.004, Duarte 2015 {published data only}  ,included,CD013080-bbs2-0010,,,25743569,17.0,https://doi.org/10.1016/j.bjid.2015.01.004,,25743569
