Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Change in refractive error from baseline Show forest plot,3,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Undercorrection vs full correction spectacles,1,,,,1,1,,Change in refractive error from baseline Show forest plot
1.1.1 At 1 year,2,142,"Mean Difference (IV, Fixed, 95% CI)","‐0.15 [‐0.29, ‐0.00]",Undercorrection vs full correction spectacles,1,-0.15,-0.29,-0.0,1,1,,At 1 year
1.1.2 At 2 years,2,244,"Mean Difference (IV, Fixed, 95% CI)","0.02 [‐0.05, 0.09]",Undercorrection vs full correction spectacles,1,0.02,-0.05,0.09,1,1,,At 2 years
1.2 Change in axial length from baseline Show forest plot,2,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Undercorrection vs full correction spectacles,1,,,,1,2,,Change in axial length from baseline Show forest plot
1.2.1 At 1 year,1,94,"Mean Difference (IV, Fixed, 95% CI)","0.05 [‐0.01, 0.11]",Undercorrection vs full correction spectacles,1,0.05,-0.01,0.11,1,2,,At 1 year
1.2.2 At 2 years,2,244,"Mean Difference (IV, Fixed, 95% CI)","‐0.01 [‐0.06, 0.03]",Undercorrection vs full correction spectacles,1,-0.01,-0.06,0.03,1,2,,At 2 years
2.1 Change in refractive error from baseline Show forest plot,10,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Multifocal spectacle lenses vs single vision spectacle lenses,2,,,,2,1,,Change in refractive error from baseline Show forest plot
2.1.1 At 1 year,9,1463,"Mean Difference (IV, Random, 95% CI)","0.14 [0.08, 0.21]",Multifocal spectacle lenses vs single vision spectacle lenses,2,0.14,0.08,0.21,2,1,,At 1 year
2.1.2 At 2 years,8,1401,"Mean Difference (IV, Random, 95% CI)","0.19 [0.08, 0.30]",Multifocal spectacle lenses vs single vision spectacle lenses,2,0.19,0.08,0.3,2,1,,At 2 years
2.1.3 At 3 years,4,835,"Mean Difference (IV, Random, 95% CI)","0.26 [‐0.07, 0.59]",Multifocal spectacle lenses vs single vision spectacle lenses,2,0.26,-0.07,0.59,2,1,,At 3 years
