Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 All‐cause mortality at day 28 Show forest plot,1,2224,"Risk Ratio (M‐H, Random, 95% CI)","0.04 [0.00, 0.68]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.04,0.0,0.68,1,1,,All‐cause mortality at day 28 Show forest plot
1.2 Worsening of clinical status: admission to hospital or death at 28 days Show forest plot,1,2224,"Risk Ratio (M‐H, Random, 95% CI)","0.13 [0.07, 0.27]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.13,0.07,0.27,1,2,,Worsening of clinical status: admission to hospital or death at 28 days Show forest plot
1.3 Worsening of clinical status: admission to hospital or death at 28 days (subgroup analysis based on age) Show forest plot,1,2085,"Risk Ratio (M‐H, Random, 95% CI)","0.13 [0.06, 0.27]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.13,0.06,0.27,1,3,,Worsening of clinical status: admission to hospital or death at 28 days (subgroup analysis based on age) Show forest plot
1.3.1 children,0,0,"Risk Ratio (M‐H, Random, 95% CI)",Not estimable,Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,,,,1,3,,children
1.3.2 age < 65 years of age,1,1817,"Risk Ratio (M‐H, Random, 95% CI)","0.15 [0.07, 0.34]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.15,0.07,0.34,1,3,,age < 65 years of age
1.3.3 age ≥ 65 years of age,1,268,"Risk Ratio (M‐H, Random, 95% CI)","0.05 [0.01, 0.38]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.05,0.01,0.38,1,3,,age ≥ 65 years of age
1.4 Worsening of clinical status: admission to hospital or death at 28 days (subgroup analysis based on ethnicity) Show forest plot,1,2085,"Risk Ratio (M‐H, Random, 95% CI)","0.15 [0.07, 0.29]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.15,0.07,0.29,1,4,,Worsening of clinical status: admission to hospital or death at 28 days (subgroup analysis based on ethnicity) Show forest plot
1.4.1 White,1,1486,"Risk Ratio (M‐H, Random, 95% CI)","0.16 [0.07, 0.33]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.16,0.07,0.33,1,4,,White
1.4.2 Black/African American,1,94,"Risk Ratio (M‐H, Random, 95% CI)","0.29 [0.01, 7.04]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.29,0.01,7.04,1,4,,Black/African American
1.4.3 Asian,1,296,"Risk Ratio (M‐H, Random, 95% CI)","0.07 [0.00, 1.19]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.07,0.0,1.19,1,4,,Asian
1.4.4 Other,1,209,"Risk Ratio (M‐H, Random, 95% CI)","0.08 [0.00, 1.34]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.08,0.0,1.34,1,4,,Other
1.5 Serious adverse events during the study period Show forest plot,1,2224,"Risk Ratio (M‐H, Random, 95% CI)","0.24 [0.15, 0.41]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.24,0.15,0.41,1,5,,Serious adverse events during the study period Show forest plot
1.6 Any grade treatment‐emergent adverse events during the study period Show forest plot,1,2224,"Risk Ratio (M‐H, Random, 95% CI)","0.95 [0.82, 1.10]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.95,0.82,1.1,1,6,,Any grade treatment‐emergent adverse events during the study period Show forest plot
1.7 Any grade treatment‐related adverse events during the study period Show forest plot,1,2224,"Risk Ratio (M‐H, Random, 95% CI)","2.06 [1.44, 2.95]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,2.06,1.44,2.95,1,7,,Any grade treatment‐related adverse events during the study period Show forest plot
1.8 Discontinuation of study drug due to adverse events during the study period Show forest plot,1,2224,"Risk Ratio (M‐H, Random, 95% CI)","0.49 [0.30, 0.80]",Nirmatrelvir/ritonavir for treating COVID‐19 in outpatient settings with asymptomatic or mild disease,1,0.49,0.3,0.8,1,8,,Discontinuation of study drug due to adverse events during the study period Show forest plot
