Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Diarrhoea: all ages Show forest plot,15,,"Risk Ratio (IV, Random, 95% CI)","0.79 [0.66, 0.94]",Providing access to any sanitation facility intervention versus control,1,0.79,0.66,0.94,1,1,,Diarrhoea: all ages Show forest plot
1.1.1 Cluster‐RCTs,7,,"Risk Ratio (IV, Random, 95% CI)","0.89 [0.73, 1.08]",Providing access to any sanitation facility intervention versus control,1,0.89,0.73,1.08,1,1,,Cluster‐RCTs
1.1.2 NRCTs,8,,"Risk Ratio (IV, Random, 95% CI)","0.72 [0.53, 0.97]",Providing access to any sanitation facility intervention versus control,1,0.72,0.53,0.97,1,1,,NRCTs
1.2 Diarrhoea: children < 5 years Show forest plot,11,,"Risk Ratio (IV, Random, 95% CI)","0.83 [0.68, 1.02]",Providing access to any sanitation facility intervention versus control,1,0.83,0.68,1.02,1,2,,Diarrhoea: children < 5 years Show forest plot
1.2.1 Cluster‐RCTs,4,,"Risk Ratio (IV, Random, 95% CI)","0.98 [0.83, 1.16]",Providing access to any sanitation facility intervention versus control,1,0.98,0.83,1.16,1,2,,Cluster‐RCTs
1.2.2 NRCTs,7,,"Risk Ratio (IV, Random, 95% CI)","0.76 [0.55, 1.05]",Providing access to any sanitation facility intervention versus control,1,0.76,0.55,1.05,1,2,,NRCTs
1.3 Dysentery (bloody diarrhoea): children < 5 years (same for all ages) Show forest plot,2,,"Risk Ratio (IV, Random, 95% CI)","0.74 [0.47, 1.17]",Providing access to any sanitation facility intervention versus control,1,0.74,0.47,1.17,1,3,,Dysentery (bloody diarrhoea): children < 5 years (same for all ages) Show forest plot
1.3.1 Cluster‐RCTs,1,,"Risk Ratio (IV, Random, 95% CI)","0.96 [0.11, 8.14]",Providing access to any sanitation facility intervention versus control,1,0.96,0.11,8.14,1,3,,Cluster‐RCTs
1.3.2 NRCTs,1,,"Risk Ratio (IV, Random, 95% CI)","0.73 [0.46, 1.17]",Providing access to any sanitation facility intervention versus control,1,0.73,0.46,1.17,1,3,,NRCTs
1.4 Persistent diarrhoea: children < 5 years (same for all ages) Show forest plot,1,,"Risk Ratio (IV, Random, 95% CI)",Totals not selected,Providing access to any sanitation facility intervention versus control,1,,,,1,4,,Persistent diarrhoea: children < 5 years (same for all ages) Show forest plot
1.4.1 NRCTs,1,,"Risk Ratio (IV, Random, 95% CI)",Totals not selected,Providing access to any sanitation facility intervention versus control,1,,,,1,4,,NRCTs
1.5 All‐cause mortality: all ages Show forest plot,3,,"Risk Ratio (IV, Random, 95% CI)","0.93 [0.69, 1.24]",Providing access to any sanitation facility intervention versus control,1,0.93,0.69,1.24,1,5,,All‐cause mortality: all ages Show forest plot
1.5.1 Cluster‐RCTs,2,,"Risk Ratio (IV, Random, 95% CI)","1.05 [0.88, 1.25]",Providing access to any sanitation facility intervention versus control,1,1.05,0.88,1.25,1,5,,Cluster‐RCTs
1.5.2 NRCTs,1,,"Risk Ratio (IV, Random, 95% CI)","0.56 [0.32, 0.99]",Providing access to any sanitation facility intervention versus control,1,0.56,0.32,0.99,1,5,,NRCTs
