reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD012199-bib-0001,"Albright JW, Basaric-Keys J. ",Instruction in behavior modification can significantly alter soil-transmitted helminth (STH) re-infection following therapeutic de-worming, Southeast Asian Journal of Tropical Medicine and Public Health ,2006,37,    ,['citation-journal']," Albright JW, Basaric-Keys J. Instruction in behavior modification can significantly alter soil-transmitted helminth (STH) re-infection following therapeutic de-worming.  Southeast Asian Journal of Tropical Medicine and Public Health 2006;37(1):48-57. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/16771212', 'https://scholar.google.com/scholar_lookup?title=Instruction+in+behavior+modification+can+significantly+alter+soil-transmitted+helminth+(STH)+re-infection+following+therapeutic+de-worming+&author=JW+Albright&author=J+Basaric-Keys&publication_year=2006&hl=en']",16771212,, Albright 2006 {published data only}  ,included,CD012199-bbs2-0001,,16771212,16771212,,,,,16771212
CD012199-bib-0002,"Al-Delaimy AK, Al-Mekhlafi HM, Lim YA, Nasr NA, Sady H, Atroosh WM, et al. ",Developing and evaluating health education learning package (HELP) to control soil-transmitted helminth infections among Orang Asli children in Malaysia, Parasites & Vectors ,2014,7,    ,['citation-journal']," Al-Delaimy AK, Al-Mekhlafi HM, Lim YA, Nasr NA, Sady H, Atroosh WM, et al. Developing and evaluating health education learning package (HELP) to control soil-transmitted helminth infections among Orang Asli children in Malaysia.  Parasites & Vectors 2014;7:416. CENTRAL [DOI: 10.1186/1756-3305-7-416]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/1756-3305-7-416', 'https://www.ncbi.nlm.nih.gov/pubmed/25179100', 'https://scholar.google.com/scholar_lookup?title=Developing+and+evaluating+health+education+learning+package+(HELP)+to+control+soil-transmitted+helminth+infections+among+Orang+Asli+children+in+Malaysia+&author=AK+Al-Delaimy&author=HM+Al-Mekhlafi&author=YA+Lim&author=NA+Nasr&author=H+Sady&author=WM+Atroosh&publication_year=2014&hl=en']",25179100,https://doi.org/10.1186/1756-3305-7-416, Al Delaimy 2014 {published data only}  ,included,CD012199-bbs2-0002,,,25179100,25179100,70,https://parasitesandvectors.biomedcentral.com/counter/pdf/10.1186/1756-3305-7-416,,25179100
CD012199-bib-0003,"Al-Delaimy AK, Al-Mekhlafi HM, Nasr NA, Lim YA, Mahmud R. ",Epidemiology of soil-transmitted helminths infections among aboriginal schoolchildren in rural Malaysia, American Journal of Tropical Medicine and Hygiene ,2013,89,    ,['citation-journal']," Al-Delaimy AK, Al-Mekhlafi HM, Nasr NA, Lim YA, Mahmud R. Epidemiology of soil-transmitted helminths infections among aboriginal schoolchildren in rural Malaysia.  American Journal of Tropical Medicine and Hygiene 2013;89(5 Suppl 1):230. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Epidemiology+of+soil-transmitted+helminths+infections+among+aboriginal+schoolchildren+in+rural+Malaysia+&author=AK+Al-Delaimy&author=HM+Al-Mekhlafi&author=NA+Nasr&author=YA+Lim&author=R+Mahmud&publication_year=2013&hl=en']",,, Al Delaimy 2014 {published data only}  ,included,CD012199-bbs2-0002,,,,,,,,
CD012199-bib-0004,"Arfaa F, Sahba GH, Farahmandian I, Jalali H. ","Evaluation of the effect of different methods of control of soil-transmitted helminths in Khuzestan, southwest Iran", American Journal of Tropical Medicine and Hygiene ,1977,26,    ,['citation-journal']," Arfaa F, Sahba GH, Farahmandian I, Jalali H. Evaluation of the effect of different methods of control of soil-transmitted helminths in Khuzestan, southwest Iran.  American Journal of Tropical Medicine and Hygiene 1977;26(2):230-3. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.4269/ajtmh.1977.26.230', 'https://www.ncbi.nlm.nih.gov/pubmed/848644', 'https://scholar.google.com/scholar_lookup?title=Evaluation+of+the+effect+of+different+methods+of+control+of+soil-transmitted+helminths+in+Khuzestan,+southwest+Iran+&author=F+Arfaa&author=GH+Sahba&author=I+Farahmandian&author=H+Jalali&publication_year=1977&hl=en']",848644,https://doi.org/10.4269/ajtmh.1977.26.230, Arfaa 1977 {published data only}  ,included,CD012199-bbs2-0003,,848644,848644,848644,23,,,848644
CD012199-bib-0005,"Bassey DB, Mogaji HO, Dedeke GA, Akeredolu-Ale BI, Abe EM, Oluwole AS, et al. ","The impact of Worms and Ladders, an innovative health educational board game on soil-transmitted helminthiasis control in Abeokuta, Southwest Nigeria", PLOS Neglected Tropical Diseases ,2020,14,    ,['citation-journal']," Bassey DB, Mogaji HO, Dedeke GA, Akeredolu-Ale BI, Abe EM, Oluwole AS, et al. The impact of Worms and Ladders, an innovative health educational board game on soil-transmitted helminthiasis control in Abeokuta, Southwest Nigeria.  PLOS Neglected Tropical Diseases 2020;14(9):e0008486. CENTRAL [DOI: 10.1371/journal.pntd.0008486]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1371/journal.pntd.0008486', 'https://www.ncbi.nlm.nih.gov/pubmed/32976501', 'https://scholar.google.com/scholar_lookup?title=The+impact+of+Worms+and+Ladders,+an+innovative+health+educational+board+game+on+soil-transmitted+helminthiasis+control+in+Abeokuta,+Southwest+Nigeria+&author=DB+Bassey&author=HO+Mogaji&author=GA+Dedeke&author=BI+Akeredolu-Ale&author=EM+Abe&author=AS+Oluwole&publication_year=2020&hl=en']",32976501,https://doi.org/10.1371/journal.pntd.0008486, Bassey 2020 {published data only}  ,included,CD012199-bbs2-0004,,,32976501,32976501,23,https://journals.plos.org/plosntds/article/file?id=10.1371/journal.pntd.0008486&type=printable,,32976501
CD012199-bib-0006,"Bassey DB, Mogaji HO, Dedeke GA, Akeredolu-Ale BI, Abe EM, Oluwole AS, et al. ","The impact of Worms and Ladders, an innovative health educational board game on soil-transmitted helminthiasis control in Abeokuta, Southwest Nigeria", PLOS Neglected Tropical Diseases ,2020,14,    ,['citation-journal']," Bassey DB, Mogaji HO, Dedeke GA, Akeredolu-Ale BI, Abe EM, Oluwole AS, et al. The impact of Worms and Ladders, an innovative health educational board game on soil-transmitted helminthiasis control in Abeokuta, Southwest Nigeria.  PLOS Neglected Tropical Diseases 2020;14(9):e0008486. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1371/journal.pntd.0008486', 'https://www.ncbi.nlm.nih.gov/pubmed/32976501', 'https://scholar.google.com/scholar_lookup?title=The+impact+of+Worms+and+Ladders,+an+innovative+health+educational+board+game+on+soil-transmitted+helminthiasis+control+in+Abeokuta,+Southwest+Nigeria+&author=DB+Bassey&author=HO+Mogaji&author=GA+Dedeke&author=BI+Akeredolu-Ale&author=EM+Abe&author=AS+Oluwole&publication_year=2020&hl=en']",32976501,https://doi.org/10.1371/journal.pntd.0008486, Bassey 2020 {published data only}  ,included,CD012199-bbs2-0004,,,32976501,32976501,23,https://journals.plos.org/plosntds/article/file?id=10.1371/journal.pntd.0008486&type=printable,,32976501
CD012199-bib-0007,"Bieri FA, Gray DJ, Williams GM, Raso G, Li YS, Yuan L, et al. ",Health-education package to prevent worm infections in Chinese schoolchildren, New England Journal of Medicine ,2013,368,    ,['citation-journal']," Bieri FA, Gray DJ, Williams GM, Raso G, Li YS, Yuan L, et al. Health-education package to prevent worm infections in Chinese schoolchildren.  New England Journal of Medicine 2013;368(17):1603-12. CENTRAL [DOI: 10.1056/NEJMoa1204885]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1056/NEJMoa1204885', 'https://www.ncbi.nlm.nih.gov/pubmed/23614586', 'https://scholar.google.com/scholar_lookup?title=Health-education+package+to+prevent+worm+infections+in+Chinese+schoolchildren&author=FA+Bieri&author=DJ+Gray&author=GM+Williams&author=G+Raso&author=YS+Li&author=L+Yuan&publication_year=2013&hl=en']",23614586,https://doi.org/10.1056/NEJMoa1204885, Bieri 2013 {published data only}  ,included,CD012199-bbs2-0005,,,,23614586,180,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1204885?articleTools=true,,23614586
CD012199-bib-0008,"Chard AN, Garn JV, Chang HH, Clasen T, Freeman MC. ","Impact of a school-based water, sanitation, and hygiene intervention on school absence, diarrhea, respiratory infection, and soil-transmitted helminths: results from the WASH HELPS cluster-randomized trial", Journal of Global Health ,2019,9,    ,['citation-journal']," Chard AN, Garn JV, Chang HH, Clasen T, Freeman MC. Impact of a school-based water, sanitation, and hygiene intervention on school absence, diarrhea, respiratory infection, and soil-transmitted helminths: results from the WASH HELPS cluster-randomized trial.  Journal of Global Health 2019;9(2):020402. CENTRAL [DOI: 10.7189/jogh.09.020402]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.7189/jogh.09.020402', 'https://www.ncbi.nlm.nih.gov/pubmed/31360445', 'https://scholar.google.com/scholar_lookup?title=Impact+of+a+school-based+water,+sanitation,+and+hygiene+intervention+on+school+absence,+diarrhea,+respiratory+infection,+and+soil-transmitted+helminths:+results+from+the+WASH+HELPS+cluster-randomized+trial+&author=AN+Chard&author=JV+Garn&author=HH+Chang&author=T+Clasen&author=MC+Freeman&publication_year=2019&hl=en']",31360445,https://doi.org/10.7189/jogh.09.020402, Chard 2019 {published data only}  ,included,CD012199-bbs2-0006,,31360445,31360445,31360445,61,https://doi.org/10.7189/jogh.09.020402,,31360445
CD012199-bib-0009,"Clasen T, Boisson S, Routray P, Cumming O, Jenkins M, Ensink JH, et al. ","The effect of improved rural sanitation on diarrhoea and helminth infection: design of a cluster-randomized trial in Orissa, India", Emerging Themes in Epidemiology ,2012,9,    ,['citation-journal']," Clasen T, Boisson S, Routray P, Cumming O, Jenkins M, Ensink JH, et al. The effect of improved rural sanitation on diarrhoea and helminth infection: design of a cluster-randomized trial in Orissa, India.  Emerging Themes in Epidemiology 2012;9(1):7. CENTRAL [DOI: 10.1186/1742-7622-9-7]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/1742-7622-9-7', 'https://www.ncbi.nlm.nih.gov/pubmed/23148587', 'https://scholar.google.com/scholar_lookup?title=The+effect+of+improved+rural+sanitation+on+diarrhoea+and+helminth+infection:+design+of+a+cluster-randomized+trial+in+Orissa,+India+&author=T+Clasen&author=S+Boisson&author=P+Routray&author=O+Cumming&author=M+Jenkins&author=JH+Ensink&publication_year=2012&hl=en']",23148587,https://doi.org/10.1186/1742-7622-9-7, Clasen 2014 {published data only}  ,included,CD012199-bbs2-0007,,,23148587,23148587,76,https://ete-online.biomedcentral.com/counter/pdf/10.1186/1742-7622-9-7,,23148587
CD012199-bib-0010,"Clasen T, Boisson S, Routray P, Ensink J, Jenkins M, Freeman M, et al. ","Assessing the health impact of improved rural sanitation: designing and carrying out a cluster randomized, controlled trial in Orissa, India", American Journal of Tropical Medicine and Hygiene ,2012,87,    ,['citation-journal']," Clasen T, Boisson S, Routray P, Ensink J, Jenkins M, Freeman M, et al. Assessing the health impact of improved rural sanitation: designing and carrying out a cluster randomized, controlled trial in Orissa, India.  American Journal of Tropical Medicine and Hygiene 2012;87(5 Suppl 1):231. CENTRAL    PubMed     Google Scholar     ","['', 'https://www.ncbi.nlm.nih.gov/pubmed/22855752', 'https://scholar.google.com/scholar_lookup?title=Assessing+the+health+impact+of+improved+rural+sanitation:+designing+and+carrying+out+a+cluster+randomized,+controlled+trial+in+Orissa,+India+&author=T+Clasen&author=S+Boisson&author=P+Routray&author=J+Ensink&author=M+Jenkins&author=M+Freeman&publication_year=2012&hl=en']",22855752,, Clasen 2014 {published data only}  ,included,CD012199-bbs2-0007,,,,,,,,22855752
