Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Any STH prevalence amongst RCTs Show forest plot,14,,"Odds Ratio (IV, Random, 95% CI)","0.86 [0.74, 1.01]",WASH intervention versus control,1,0.86,0.74,1.01,1,1,,Any STH prevalence amongst RCTs Show forest plot
1.2 Any STH prevalence amongst RCTs ‐ low risk of bias Show forest plot,6,,"Odds Ratio (IV, Random, 95% CI)","0.91 [0.79, 1.05]",WASH intervention versus control,1,0.91,0.79,1.05,1,2,,Any STH prevalence amongst RCTs ‐ low risk of bias Show forest plot
1.3 Any STH prevalence ‐ ICC Show forest plot,14,,"Odds Ratio (IV, Random, 95% CI)","0.86 [0.74, 1.01]",WASH intervention versus control,1,0.86,0.74,1.01,1,3,,Any STH prevalence ‐ ICC Show forest plot
1.3.1 Calculated effect estimate using estimated ICC,9,,"Odds Ratio (IV, Random, 95% CI)","0.88 [0.72, 1.08]",WASH intervention versus control,1,0.88,0.72,1.08,1,3,,Calculated effect estimate using estimated ICC
1.3.2 Calculated effect estimate using reported ICC,1,,"Odds Ratio (IV, Random, 95% CI)","0.93 [0.77, 1.11]",WASH intervention versus control,1,0.93,0.77,1.11,1,3,,Calculated effect estimate using reported ICC
1.3.3 Study reported cluster‐adjusted effect estimate,4,,"Odds Ratio (IV, Random, 95% CI)","0.79 [0.47, 1.32]",WASH intervention versus control,1,0.79,0.47,1.32,1,3,,Study reported cluster‐adjusted effect estimate
1.4 Any STH prevalence amongst non‐RCTs Show forest plot,8,,"Odds Ratio (IV, Random, 95% CI)","0.71 [0.54, 0.94]",WASH intervention versus control,1,0.71,0.54,0.94,1,4,,Any STH prevalence amongst non‐RCTs Show forest plot
1.5 Any STH prevalence ‐ narrow WASH categories amongst non‐RCTs Show forest plot,8,,"Odds Ratio (IV, Random, 95% CI)","0.71 [0.54, 0.94]",WASH intervention versus control,1,0.71,0.54,0.94,1,5,,Any STH prevalence ‐ narrow WASH categories amongst non‐RCTs Show forest plot
1.5.1 Community water and sanitation,1,,"Odds Ratio (IV, Random, 95% CI)","0.68 [0.42, 1.11]",WASH intervention versus control,1,0.68,0.42,1.11,1,5,,Community water and sanitation
1.5.2 Community sanitation and hygiene,2,,"Odds Ratio (IV, Random, 95% CI)","0.47 [0.09, 2.41]",WASH intervention versus control,1,0.47,0.09,2.41,1,5,,Community sanitation and hygiene
"1.5.3 Community water, sanitation, and hygiene",2,,"Odds Ratio (IV, Random, 95% CI)","0.72 [0.47, 1.13]",WASH intervention versus control,1,0.72,0.47,1.13,1,5,,"Community water, sanitation, and hygiene"
1.5.4 School hygiene,3,,"Odds Ratio (IV, Random, 95% CI)","0.77 [0.46, 1.28]",WASH intervention versus control,1,0.77,0.46,1.28,1,5,,School hygiene
1.6 Any STH prevalence amongst RCTs (intervention type subgroup) Show forest plot,14,,"Odds Ratio (IV, Random, 95% CI)","0.86 [0.74, 1.01]",WASH intervention versus control,1,0.86,0.74,1.01,1,6,,Any STH prevalence amongst RCTs (intervention type subgroup) Show forest plot
1.6.1 Primarily education,6,,"Odds Ratio (IV, Random, 95% CI)","0.80 [0.48, 1.31]",WASH intervention versus control,1,0.8,0.48,1.31,1,6,,Primarily education
1.6.2 Single WASH aspect,3,,"Odds Ratio (IV, Random, 95% CI)","0.87 [0.65, 1.17]",WASH intervention versus control,1,0.87,0.65,1.17,1,6,,Single WASH aspect
1.6.3 Broad multiple,7,,"Odds Ratio (IV, Random, 95% CI)","0.90 [0.78, 1.05]",WASH intervention versus control,1,0.9,0.78,1.05,1,6,,Broad multiple
1.7 Any STH prevalence amongst RCTs (age subgroup) Show forest plot,14,,"Odds Ratio (IV, Random, 95% CI)","0.86 [0.74, 1.01]",WASH intervention versus control,1,0.86,0.74,1.01,1,7,,Any STH prevalence amongst RCTs (age subgroup) Show forest plot
1.7.1 Children,12,,"Odds Ratio (IV, Random, 95% CI)","0.85 [0.72, 1.00]",WASH intervention versus control,1,0.85,0.72,1.0,1,7,,Children
1.7.2 All ages,2,,"Odds Ratio (IV, Random, 95% CI)","1.00 [0.68, 1.47]",WASH intervention versus control,1,1.0,0.68,1.47,1,7,,All ages
1.8 Any STH prevalence amongst RCTs (school village subgroup) Show forest plot,14,,"Odds Ratio (IV, Random, 95% CI)","0.86 [0.74, 1.01]",WASH intervention versus control,1,0.86,0.74,1.01,1,8,,Any STH prevalence amongst RCTs (school village subgroup) Show forest plot
1.8.1 School,7,,"Odds Ratio (IV, Random, 95% CI)","0.82 [0.56, 1.20]",WASH intervention versus control,1,0.82,0.56,1.2,1,8,,School
1.8.2 Village,7,,"Odds Ratio (IV, Random, 95% CI)","0.88 [0.78, 0.99]",WASH intervention versus control,1,0.88,0.78,0.99,1,8,,Village
1.9 Any STH prevalence amongst RCTs (MDA subgroup) Show forest plot,14,,"Odds Ratio (IV, Random, 95% CI)","0.86 [0.74, 1.01]",WASH intervention versus control,1,0.86,0.74,1.01,1,9,,Any STH prevalence amongst RCTs (MDA subgroup) Show forest plot
1.9.1 Underpinned with drug treatment,11,,"Odds Ratio (IV, Random, 95% CI)","0.85 [0.72, 1.00]",WASH intervention versus control,1,0.85,0.72,1.0,1,9,,Underpinned with drug treatment
1.9.2 No drug treatment,3,,"Odds Ratio (IV, Random, 95% CI)","0.84 [0.46, 1.54]",WASH intervention versus control,1,0.84,0.46,1.54,1,9,,No drug treatment
1.10 Any STH prevalence amongst RCTs (rural urban subgroup) Show forest plot,13,,"Odds Ratio (IV, Random, 95% CI)","0.87 [0.74, 1.01]",WASH intervention versus control,1,0.87,0.74,1.01,1,10,,Any STH prevalence amongst RCTs (rural urban subgroup) Show forest plot
1.10.1 Rural,10,,"Odds Ratio (IV, Random, 95% CI)","0.85 [0.73, 1.00]",WASH intervention versus control,1,0.85,0.73,1.0,1,10,,Rural
1.10.2 Urban,2,,"Odds Ratio (IV, Random, 95% CI)","0.43 [0.06, 3.05]",WASH intervention versus control,1,0.43,0.06,3.05,1,10,,Urban
1.10.3 Urban and rural,1,,"Odds Ratio (IV, Random, 95% CI)","1.19 [0.74, 1.91]",WASH intervention versus control,1,1.19,0.74,1.91,1,10,,Urban and rural
1.11 Any STH prevalence amongst RCTs (world region subgroup) Show forest plot,14,,"Odds Ratio (IV, Random, 95% CI)","0.86 [0.74, 1.01]",WASH intervention versus control,1,0.86,0.74,1.01,1,11,,Any STH prevalence amongst RCTs (world region subgroup) Show forest plot
1.11.1 Africa,8,,"Odds Ratio (IV, Random, 95% CI)","0.83 [0.64, 1.09]",WASH intervention versus control,1,0.83,0.64,1.09,1,11,,Africa
1.11.2 Asia,5,,"Odds Ratio (IV, Random, 95% CI)","0.87 [0.69, 1.09]",WASH intervention versus control,1,0.87,0.69,1.09,1,11,,Asia
1.11.3 South America,1,,"Odds Ratio (IV, Random, 95% CI)","1.00 [0.58, 1.72]",WASH intervention versus control,1,1.0,0.58,1.72,1,11,,South America
1.12 Any STH prevalence ‐ narrow WASH categories amongst RCTs Show forest plot,14,,"Odds Ratio (IV, Random, 95% CI)","0.86 [0.77, 0.97]",WASH intervention versus control,1,0.86,0.77,0.97,1,12,,Any STH prevalence ‐ narrow WASH categories amongst RCTs Show forest plot
