Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Change in vertigo: global score Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dietary intervention (probiotics) versus placebo,1,,,,1,1,,Change in vertigo: global score Show forest plot
1.1.1 < 3 months,1,204,"Mean Difference (IV, Random, 95% CI)","0.10 [‐0.88, 1.08]",Dietary intervention (probiotics) versus placebo,1,0.1,-0.88,1.08,1,1,,< 3 months
1.1.2 3 to 6 months,1,204,"Mean Difference (IV, Random, 95% CI)","‐2.20 [‐3.73, ‐0.67]",Dietary intervention (probiotics) versus placebo,1,-2.2,-3.73,-0.67,1,1,,3 to 6 months
1.2 Change in vertigo: frequency Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dietary intervention (probiotics) versus placebo,1,,,,1,2,,Change in vertigo: frequency Show forest plot
1.2.1 < 3 months,1,204,"Mean Difference (IV, Random, 95% CI)","0.10 [‐0.61, 0.81]",Dietary intervention (probiotics) versus placebo,1,0.1,-0.61,0.81,1,2,,< 3 months
1.2.2 3 to 6 months,1,204,"Mean Difference (IV, Random, 95% CI)","‐0.70 [‐2.39, 0.99]",Dietary intervention (probiotics) versus placebo,1,-0.7,-2.39,0.99,1,2,,3 to 6 months
1.3 Disease‐specific health‐related quality of life Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Dietary intervention (probiotics) versus placebo,1,,,,1,3,,Disease‐specific health‐related quality of life Show forest plot
1.3.1 < 3 months,1,204,"Mean Difference (IV, Random, 95% CI)","‐5.40 [‐11.40, 0.60]",Dietary intervention (probiotics) versus placebo,1,-5.4,-11.4,0.6,1,3,,< 3 months
1.3.2 3 to 6 months,1,204,"Mean Difference (IV, Random, 95% CI)","‐9.60 [‐19.04, ‐0.16]",Dietary intervention (probiotics) versus placebo,1,-9.6,-19.04,-0.16,1,3,,3 to 6 months
2.1 Change in vertigo: global score Show forest plot,1,34,"Mean Difference (IV, Random, 95% CI)","1.23 [‐7.41, 9.87]",Cognitive behavioural therapy (CBT) versus no treatment,2,1.23,-7.41,9.87,2,1,,Change in vertigo: global score Show forest plot
2.2 Disease‐specific health‐related quality of life: vertigo Show forest plot,1,34,"Mean Difference (IV, Random, 95% CI)","3.16 [‐13.27, 19.59]",Cognitive behavioural therapy (CBT) versus no treatment,2,3.16,-13.27,19.59,2,2,,Disease‐specific health‐related quality of life: vertigo Show forest plot
2.3 Disease‐specific health‐related quality of life: migraine Show forest plot,1,34,"Mean Difference (IV, Random, 95% CI)","‐7.71 [‐41.15, 25.73]",Cognitive behavioural therapy (CBT) versus no treatment,2,-7.71,-41.15,25.73,2,3,,Disease‐specific health‐related quality of life: migraine Show forest plot
2.4 Discontinuation of allocated treatment Show forest plot,1,61,"Risk Ratio (M‐H, Random, 95% CI)","1.36 [0.74, 2.50]",Cognitive behavioural therapy (CBT) versus no treatment,2,1.36,0.74,2.5,2,4,,Discontinuation of allocated treatment Show forest plot
3.1 Change in vertigo Show forest plot,1,,Other data,No numeric data,Vestibular rehabilitation versus no treatment,3,,,,3,1,,Change in vertigo Show forest plot
Change in vertigo,Change in vertigo,Change in vertigo,Change in vertigo,,Vestibular rehabilitation versus no treatment,3,,,,Change,,,
Study,Vestibular rehabilitation group,Control group,Conclusions from the study authors,,Vestibular rehabilitation versus no treatment,3,,,,Study,,,
< 3 months,< 3 months,< 3 months,< 3 months,,Vestibular rehabilitation versus no treatment,3,,,,<,,,
Aydin 2020,"The median number of vertigo attacks per month at 2 months follow‐up was 4.5, with a range from 0 to 10.","The median number of vertigo attacks per month at 2 months follow‐up was 5, with a range from 0 to 30.","The authors do not report any statistical analysis of these data. It is not clear whether this is because no analysis was conducted, or because the findings were not significant.",,Vestibular rehabilitation versus no treatment,3,,,,Aydin,,,
3 to 6 months,3 to 6 months,3 to 6 months,3 to 6 months,,Vestibular rehabilitation versus no treatment,3,,,,3,,,
Aydin 2020,"The median number of vertigo attacks per month at 4 months follow‐up was 1.5, with a range from 0 to 10.","The median number of vertigo attacks per month at 4 months follow‐up was 4.5, with a range from 0 to 30.","The authors do not report any statistical analysis of these data. It is not clear whether this is because no analysis was conducted, or because the findings were not significant.",,Vestibular rehabilitation versus no treatment,3,,,,Aydin,,,
3.1.1 < 3 months,1,,Other data,No numeric data,Vestibular rehabilitation versus no treatment,3,,,,3,1,,< 3 months
3.1.2 3 to 6 months,1,,Other data,No numeric data,Vestibular rehabilitation versus no treatment,3,,,,3,1,,3 to 6 months
3.2 Disease‐specific health‐related quality of life Show forest plot,1,,Other data,No numeric data,Vestibular rehabilitation versus no treatment,3,,,,3,2,,Disease‐specific health‐related quality of life Show forest plot
Disease‐specific health‐related quality of life,Disease‐specific health‐related quality of life,Disease‐specific health‐related quality of life,Disease‐specific health‐related quality of life,,Vestibular rehabilitation versus no treatment,3,,,,Disease‐specific,,health‐related,
Study,Vestibular rehabilitation group,Control group,Conclusions from the study authors,,Vestibular rehabilitation versus no treatment,3,,,,Study,,,
< 3 months,< 3 months,< 3 months,< 3 months,,Vestibular rehabilitation versus no treatment,3,,,,<,,,
Aydin 2020,"The median DHI score at 2 months follow‐up was 33, with a range from 16 to 80.","The median DHI score at 2 months follow‐up was 36, with a range from 10 to 70.","The authors do not report any statistical analysis of these data. It is not clear whether this is because no analysis was conducted, or because the findings were not significant.",,Vestibular rehabilitation versus no treatment,3,,,,Aydin,,,
3 to 6 months,3 to 6 months,3 to 6 months,3 to 6 months,,Vestibular rehabilitation versus no treatment,3,,,,3,,,
Aydin 2020,"The median DHI score at 4 months follow‐up was 20, with a range from 0 to 86.","The median DHI score at 4 months follow‐up was 33, with a range from 8 to 64.","The authors do not report any statistical analysis of these data. It is not clear whether this is because no analysis was conducted, or because the findings were not significant.",,Vestibular rehabilitation versus no treatment,3,,,,Aydin,,,
3.2.1 < 3 months,1,,Other data,No numeric data,Vestibular rehabilitation versus no treatment,3,,,,3,2,,< 3 months
3.2.2 3 to 6 months,1,,Other data,No numeric data,Vestibular rehabilitation versus no treatment,3,,,,3,2,,3 to 6 months
3.3 Change in headache Show forest plot,1,,Other data,No numeric data,Vestibular rehabilitation versus no treatment,3,,,,3,3,,Change in headache Show forest plot
Change in headache,Change in headache,Change in headache,Change in headache,,Vestibular rehabilitation versus no treatment,3,,,,Change,,,
Study,Vestibular rehabilitation group,Control group,Conclusions from the study authors,,Vestibular rehabilitation versus no treatment,3,,,,Study,,,
< 3 months,< 3 months,< 3 months,< 3 months,,Vestibular rehabilitation versus no treatment,3,,,,<,,,
Aydin 2020,"The median number of headache attacks per month at 2 months follow‐up was 5, with a range from 0 to 10.","The median number of headache attacks per month at 2 months follow‐up was 2.5, with a range from 0 to 10.",The authors report that the P value for comparison of these groups was 0.483.,,Vestibular rehabilitation versus no treatment,3,,,,Aydin,,,
3 to 6 months,3 to 6 months,3 to 6 months,3 to 6 months,,Vestibular rehabilitation versus no treatment,3,,,,3,,,
Aydin 2020,"The median number of headache attacks per month at 4 months follow‐up was 1, with a range from 0 to 5.","The median number of headache attacks per month at 4 months follow‐up was 0.5, with a range from 0 to 6.",The authors report that the P value for comparison of these groups was 0.917.,,Vestibular rehabilitation versus no treatment,3,,,,Aydin,,,
