Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Improvement in frequency of vertigo (complete resolution) at > 12 months Show forest plot,1,133,"Risk Ratio (M‐H, Fixed, 95% CI)","1.55 [1.22, 1.97]",Ventilation tubes versus no treatment,1,1.55,1.22,1.97,1,1,,Improvement in frequency of vertigo (complete resolution) at > 12 months Show forest plot
1.2 Change in hearing: improvement in hearing at > 12 months Show forest plot,1,133,"Risk Ratio (M‐H, Fixed, 95% CI)","4.89 [1.97, 12.14]",Ventilation tubes versus no treatment,1,4.89,1.97,12.14,1,2,,Change in hearing: improvement in hearing at > 12 months Show forest plot
2.1 Improvement in vertigo (complete resolution) Show forest plot,1,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Endolymphatic sac decompression versus placebo (sham surgery),2,,,,2,1,,Improvement in vertigo (complete resolution) Show forest plot
2.1.1 6 to ≤ 12 months,1,30,"Risk Ratio (M‐H, Random, 95% CI)","1.30 [0.86, 1.96]",Endolymphatic sac decompression versus placebo (sham surgery),2,1.3,0.86,1.96,2,1,,6 to ≤ 12 months
2.1.2 > 12 months,1,23,"Risk Ratio (M‐H, Random, 95% CI)","0.91 [0.72, 1.16]",Endolymphatic sac decompression versus placebo (sham surgery),2,0.91,0.72,1.16,2,1,,> 12 months
2.2 Change in vertigo Show forest plot,1,29,"Mean Difference (IV, Random, 95% CI)","‐12.39 [‐22.81, ‐1.97]",Endolymphatic sac decompression versus placebo (sham surgery),2,-12.39,-22.81,-1.97,2,2,,Change in vertigo Show forest plot
2.2.1 At 6 to ≤ 12 months,1,29,"Mean Difference (IV, Random, 95% CI)","‐12.39 [‐22.81, ‐1.97]",Endolymphatic sac decompression versus placebo (sham surgery),2,-12.39,-22.81,-1.97,2,2,,At 6 to ≤ 12 months
2.3 Change in hearing Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Endolymphatic sac decompression versus placebo (sham surgery),2,,,,2,3,,Change in hearing Show forest plot
2.3.1 6 to ≤ 12 months,1,30,"Mean Difference (IV, Random, 95% CI)","‐8.41 [‐17.00, 0.18]",Endolymphatic sac decompression versus placebo (sham surgery),2,-8.41,-17.0,0.18,2,3,,6 to ≤ 12 months
2.3.2 > 12 months,1,23,"Mean Difference (IV, Random, 95% CI)","2.33 [‐16.54, 21.20]",Endolymphatic sac decompression versus placebo (sham surgery),2,2.33,-16.54,21.2,2,3,,> 12 months
