Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Improvement in vertigo frequency Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Intratympanic gentamicin versus no treatment/placebo,1,,,,1,1,,Improvement in vertigo frequency Show forest plot
1.1.1 6 to ≤ 12 months,1,32,"Risk Ratio (M‐H, Random, 95% CI)","33.00 [2.15, 507.00]",Intratympanic gentamicin versus no treatment/placebo,1,33.0,2.15,507.0,1,1,,6 to ≤ 12 months
1.1.2 > 12 months,1,22,"Risk Ratio (M‐H, Random, 95% CI)","1.63 [0.98, 2.69]",Intratympanic gentamicin versus no treatment/placebo,1,1.63,0.98,2.69,1,1,,> 12 months
1.2 Improvement in vertigo frequency: sensitivity analysis for complete/substantial improvement Show forest plot,2,,"Risk Ratio (M‐H, Random, 95% CI)",Subtotals only,Intratympanic gentamicin versus no treatment/placebo,1,,,,1,2,,Improvement in vertigo frequency: sensitivity analysis for complete/substantial improvement Show forest plot
1.2.1 6 to ≤ 12 months,1,32,"Risk Ratio (M‐H, Random, 95% CI)","33.00 [2.15, 507.00]",Intratympanic gentamicin versus no treatment/placebo,1,33.0,2.15,507.0,1,2,,6 to ≤ 12 months
1.2.2 > 12 months,1,22,"Risk Ratio (M‐H, Random, 95% CI)","7.05 [1.59, 31.32]",Intratympanic gentamicin versus no treatment/placebo,1,7.05,1.59,31.32,1,2,,> 12 months
1.3 Change in vertigo (global score) Show forest plot,1,,"Mean Difference (IV, Random, 95% CI)",Subtotals only,Intratympanic gentamicin versus no treatment/placebo,1,,,,1,3,,Change in vertigo (global score) Show forest plot
1.3.1 6 to ≤ 12 months,1,26,"Mean Difference (IV, Random, 95% CI)","‐1.00 [‐1.68, ‐0.32]",Intratympanic gentamicin versus no treatment/placebo,1,-1.0,-1.68,-0.32,1,3,,6 to ≤ 12 months
1.3.2 > 12 months,1,26,"Mean Difference (IV, Random, 95% CI)","‐1.80 [‐2.49, ‐1.11]",Intratympanic gentamicin versus no treatment/placebo,1,-1.8,-2.49,-1.11,1,3,,> 12 months
1.4 Change in vertigo (frequency) > 12 months Show forest plot,1,22,"Mean Difference (IV, Random, 95% CI)",Not estimable,Intratympanic gentamicin versus no treatment/placebo,1,,,,1,4,,Change in vertigo (frequency) > 12 months Show forest plot
1.5 Change in hearing at > 12 months Show forest plot,2,49,"Mean Difference (IV, Random, 95% CI)","3.70 [‐8.29, 15.69]",Intratympanic gentamicin versus no treatment/placebo,1,3.7,-8.29,15.69,1,5,,Change in hearing at > 12 months Show forest plot
