reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD015246-bib-0001,"Bremer HG, van Rooy I, Pullens B, Colijn C, Stegeman I, can der Zaag-Loonon HJ, et al. ","Intratympanic gentamicin treatment for Meniere's disease: a randomized, double-blind, placebo-controlled trial on dose-efficacy - results of a prematurely ended study", Trials ,2014,15,    ,['citation-journal']," Bremer HG, van Rooy I, Pullens B, Colijn C, Stegeman I, can der Zaag-Loonon HJ, et al. Intratympanic gentamicin treatment for Meniere's disease: a randomized, double-blind, placebo-controlled trial on dose-efficacy - results of a prematurely ended study.  Trials 2014;15(1):328. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/1745-6215-15-328', 'https://www.ncbi.nlm.nih.gov/pubmed/25135244', ""https://scholar.google.com/scholar_lookup?title=Intratympanic+gentamicin+treatment+for+Meniere's+disease:+a+randomized,+double-blind,+placebo-controlled+trial+on+dose-efficacy+-+results+of+a+prematurely+ended+study+&author=HG+Bremer&author=I+Rooy&author=B+Pullens&author=C+Colijn&author=I+Stegeman&author=HJ+canderZaag-Loonon&publication_year=2014&hl=en""]",25135244,https://doi.org/10.1186/1745-6215-15-328, Bremer 2014 {published data only}  ,included,CD015246-bbs2-0001,,,25135244,25135244,29.0,https://trialsjournal.biomedcentral.com/counter/pdf/10.1186/1745-6215-15-328,,25135244
CD015246-bib-0002,"Pullens B, van Rooy I, Bruintjes TJD, Klis JFL. ",Intratympanic gentamicin therapy for Meniere: a comparison of two regimes,,,,   ,['citation-other']," Pullens B, van Rooy I, Bruintjes TJD, Klis JFL. Intratympanic gentamicin therapy for Meniere: a comparison of two regimes. https://www.clinicaltrialsregister.eu/ctr-search/trial/2006-005913-37/NL (first received 17 December 2008). CENTRAL    ",[''],,, Bremer 2014 {published data only}  ,included,CD015246-bbs2-0001,,,,,,,,
CD015246-bib-0003,"Choudhary A, Das Biswas K, Basak B, Ghosh SK, Bhattacharya D. ",Intratympanic low dose gentamicin in intractable Meniere's disease - chemical labyrinthectomy revisited, Journal of Evolution of Medical and Dental Sciences ,2019,8,    ,['citation-journal']," Choudhary A, Das Biswas K, Basak B, Ghosh SK, Bhattacharya D. Intratympanic low dose gentamicin in intractable Meniere's disease - chemical labyrinthectomy revisited.  Journal of Evolution of Medical and Dental Sciences 2019;8(23):1843-7. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.14260/jemds/2019/405', ""https://scholar.google.com/scholar_lookup?title=Intratympanic+low+dose+gentamicin+in+intractable+Meniere's+disease+-+chemical+labyrinthectomy+revisited+&author=A+Choudhary&author=K+DasBiswas&author=B+Basak&author=SK+Ghosh&author=D+Bhattacharya&publication_year=2019&hl=en""]",,https://doi.org/10.14260/jemds/2019/405, Choudhary 2019 {published data only}  ,included,CD015246-bbs2-0002,,,,,3,https://doi.org/10.14260/jemds/2019/405,,
CD015246-bib-0004,"Postema RJ, Kingma CM, Wit HP, Albers FWJ, Van Der Laan BFAM, Albers FW, et al. ","Intratympanic gentamicin therapy for control of vertigo in unilateral Menieres disease: a prospective, double-blind, randomized, placebo-controlled trial", Acta Oto-Laryngologica ,2008,128,    ,['citation-journal']," Postema RJ, Kingma CM, Wit HP, Albers FWJ, Van Der Laan BFAM, Albers FW, et al. Intratympanic gentamicin therapy for control of vertigo in unilateral Menieres disease: a prospective, double-blind, randomized, placebo-controlled trial.  Acta Oto-Laryngologica 2008;128(8):876-80. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1080/00016480701762458', 'https://www.ncbi.nlm.nih.gov/pubmed/18607963', 'https://scholar.google.com/scholar_lookup?title=Intratympanic+gentamicin+therapy+for+control+of+vertigo+in+unilateral+Menieres+disease:+a+prospective,+double-blind,+randomized,+placebo-controlled+trial+&author=RJ+Postema&author=CM+Kingma&author=HP+Wit&author=FWJ+Albers&author=BFAM+VanDerLaan&author=FW+Albers&publication_year=2008&hl=en']",18607963,https://doi.org/10.1080/00016480701762458, Postema 2008 {published data only}  ,included,CD015246-bbs2-0003,,,,18607963,93,,,18607963
CD015246-bib-0005,"Stokroos R, Kingma H. ","Selective vestibular ablation by intratympanic gentamicin in patients with unilateral active Meniere's disease: a prospective, double-blind, placebo-controlled, randomized clinical trial", Acta Oto-Laryngologica ,2004,124,    ,['citation-journal']," Stokroos R, Kingma H. Selective vestibular ablation by intratympanic gentamicin in patients with unilateral active Meniere's disease: a prospective, double-blind, placebo-controlled, randomized clinical trial.  Acta Oto-Laryngologica 2004;124(2):172-5. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1080/00016480410016621', 'https://www.ncbi.nlm.nih.gov/pubmed/15072419', ""https://scholar.google.com/scholar_lookup?title=Selective+vestibular+ablation+by+intratympanic+gentamicin+in+patients+with+unilateral+active+Meniere's+disease:+a+prospective,+double-blind,+placebo-controlled,+randomized+clinical+trial+&author=R+Stokroos&author=H+Kingma&publication_year=2004&hl=en""]",15072419,https://doi.org/10.1080/00016480410016621, Stokroos 2004 {published data only}  ,included,CD015246-bbs2-0004,,15072419,15072419,15072419,91,,,15072419
CD015246-bib-0006,Ul Shamas I. ,Short term results of intra tympanic gentamicin and dexamethasone on hearing and tinnitus in Meniere's disease: a case control study, International Tinnitus Journal ,2017,21,    ,['citation-journal'], Ul Shamas I. Short term results of intra tympanic gentamicin and dexamethasone on hearing and tinnitus in Meniere's disease: a case control study.  International Tinnitus Journal 2017;21(1):21-3. CENTRAL    Link to article     PubMed     Google Scholar     ,"['', 'https://doi.org/10.5935/0946-5448.20170005', 'https://www.ncbi.nlm.nih.gov/pubmed/28723597', ""https://scholar.google.com/scholar_lookup?title=Short+term+results+of+intra+tympanic+gentamicin+and+dexamethasone+on+hearing+and+tinnitus+in+Meniere's+disease:+a+case+control+study+&author=I+UlShamas&publication_year=2017&hl=en""]",28723597,https://doi.org/10.5935/0946-5448.20170005, Ul Shamas 2017 {published data only}  ,included,CD015246-bbs2-0005,,,28723597,28723597,9,http://www.tinnitusjournal.com/articles/short-term-results-of-intra-tympanic-gentamicin-and-dexamethasone-on-hearing-and-tinnitus-in-menieres-disease-a-case-control-study.pdf,,28723597
CD015246-bib-0007,Conde JF. ,Treatment of labyrinthine vertigo, Acta Oto-Rino-Laringologica Ibero-Americana ,1965,16,    ,['citation-journal'], Conde JF. Treatment of labyrinthine vertigo.  Acta Oto-Rino-Laringologica Ibero-Americana 1965;16(5):511-21. CENTRAL    PubMed     Google Scholar     ,"['', 'https://www.ncbi.nlm.nih.gov/pubmed/5851670', 'https://scholar.google.com/scholar_lookup?title=Treatment+of+labyrinthine+vertigo&author=JF+Conde&publication_year=1965&hl=en']",5851670,, Conde 1965 {published data only}  ,excluded,CD015246-bbs2-0006," This is a review article on the treatment of vertigo, not an RCT ",,,,,,,5851670
CD015246-bib-0008,"Diamond C, O'Connell DA, Hornig JD, Liu R. ",Systematic review of intratympanic gentamicin in Meniere's disease, Journal of Otolaryngology ,2003,32,    ,['citation-journal']," Diamond C, O'Connell DA, Hornig JD, Liu R. Systematic review of intratympanic gentamicin in Meniere's disease.  Journal of Otolaryngology 2003;32(6):351-61. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.2310/7070.2003.13863', 'https://www.ncbi.nlm.nih.gov/pubmed/14967079', ""https://scholar.google.com/scholar_lookup?title=Systematic+review+of+intratympanic+gentamicin+in+Meniere's+disease&author=C+Diamond&author=DA+O'Connell&author=JD+Hornig&author=R+Liu&publication_year=2003&hl=en""]",14967079,https://doi.org/10.2310/7070.2003.13863, Diamond 2003 {published data only}  ,excluded,CD015246-bbs2-0007, This is a systematic review; the reference list has been checked to ensure that any relevant trials are included   ,14967079,,14967079,59,,,14967079
CD015246-bib-0009,"Dimitriadis PA, Zis P. ",Nocebo effect in Meniere's disease: a meta-analysis of placebo-controlled randomized controlled trials, Otology & Neurotology ,2017,38,    ,['citation-journal']," Dimitriadis PA, Zis P. Nocebo effect in Meniere's disease: a meta-analysis of placebo-controlled randomized controlled trials.  Otology & Neurotology 2017;38(9):1370-5. CENTRAL    Link to article     Google Scholar     ","['', 'https://doi.org/10.1097/MAO.0000000000001555', ""https://scholar.google.com/scholar_lookup?title=Nocebo+effect+in+Meniere's+disease:+a+meta-analysis+of+placebo-controlled+randomized+controlled+trials+&author=PA+Dimitriadis&author=P+Zis&publication_year=2017&hl=en""]",,https://doi.org/10.1097/MAO.0000000000001555, Dimitriadis 2017 {published data only}  ,excluded,CD015246-bbs2-0008, This is a review article; the reference list has been checked to ensure any relevant studies are included  ,28832394,28832394,28832394,13,,,28832394
CD015246-bib-0010,"Graybiel A, Schuknecht HF, Fregly AR, Miller EF 2nd, McLeod ME. ",Streptomycin in Meniere's disease. Long-term follow-up, Archives of Otolaryngology ,1967,85,    ,['citation-journal']," Graybiel A, Schuknecht HF, Fregly AR, Miller EF 2nd, McLeod ME. Streptomycin in Meniere's disease. Long-term follow-up.  Archives of Otolaryngology 1967;85(2):156-70. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1001/archotol.1967.00760040158006', 'https://www.ncbi.nlm.nih.gov/pubmed/6017588', ""https://scholar.google.com/scholar_lookup?title=Streptomycin+in+Meniere's+disease.+Long-term+follow-up&author=A+Graybiel&author=HF+Schuknecht&author=AR+Fregly&author=ME+McLeod&publication_year=1967&hl=en""]",6017588,https://doi.org/10.1001/archotol.1967.00760040158006, Graybiel 1967 {published data only}  ,excluded,CD015246-bbs2-0009, This is not an RCT ,6017588,,,25,,,6017588
