Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Mean change in pure tone average (PTA) Show forest plot,10,701,"Mean Difference (IV, Fixed, 95% CI)","‐5.93 [‐7.61, ‐4.26]",Intratympanic compared to systemic corticosteroids as primary therapy,1,-5.93,-7.61,-4.26,1,1,,Mean change in pure tone average (PTA) Show forest plot
1.2 Proportion improved Show forest plot,14,972,"Risk Ratio (M‐H, Fixed, 95% CI)","1.04 [0.97, 1.12]",Intratympanic compared to systemic corticosteroids as primary therapy,1,1.04,0.97,1.12,1,2,,Proportion improved Show forest plot
1.3 Final PTA Show forest plot,7,516,"Mean Difference (IV, Fixed, 95% CI)","‐3.31 [‐6.16, ‐0.47]",Intratympanic compared to systemic corticosteroids as primary therapy,1,-3.31,-6.16,-0.47,1,3,,Final PTA Show forest plot
1.4 Change in hearing threshold with speech audiometry Show forest plot,1,98,"Mean Difference (IV, Fixed, 95% CI)","‐8.85 [‐19.58, 1.88]",Intratympanic compared to systemic corticosteroids as primary therapy,1,-8.85,-19.58,1.88,1,4,,Change in hearing threshold with speech audiometry Show forest plot
1.5 Speech audiometry: additional outcomes Show forest plot,3,,"Mean Difference (IV, Fixed, 95% CI)",Subtotals only,Intratympanic compared to systemic corticosteroids as primary therapy,1,,,,1,5,,Speech audiometry: additional outcomes Show forest plot
1.5.1 Speech discrimination score: change from baseline,1,98,"Mean Difference (IV, Fixed, 95% CI)","15.64 [1.57, 29.71]",Intratympanic compared to systemic corticosteroids as primary therapy,1,15.64,1.57,29.71,1,5,,Speech discrimination score: change from baseline
1.5.2 Speech discrimination score: endpoint,1,35,"Mean Difference (IV, Fixed, 95% CI)","6.00 [‐20.88, 32.88]",Intratympanic compared to systemic corticosteroids as primary therapy,1,6.0,-20.88,32.88,1,5,,Speech discrimination score: endpoint
1.5.3 Word recognition score: change from baseline,1,250,"Mean Difference (IV, Fixed, 95% CI)","‐0.60 [‐9.28, 8.08]",Intratympanic compared to systemic corticosteroids as primary therapy,1,-0.6,-9.28,8.08,1,5,,Word recognition score: change from baseline
1.6 Frequency‐specific changes in PTA Show forest plot,6,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Intratympanic compared to systemic corticosteroids as primary therapy,1,,,,1,6,,Frequency‐specific changes in PTA Show forest plot
1.6.1 0.25 kHz,2,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Intratympanic compared to systemic corticosteroids as primary therapy,1,,,,1,6,,0.25 kHz
1.6.2 0.5 kHz,3,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Intratympanic compared to systemic corticosteroids as primary therapy,1,,,,1,6,,0.5 kHz
1.6.3 1 kHz,3,,"Mean Difference (IV, Fixed, 95% CI)",Totals not selected,Intratympanic compared to systemic corticosteroids as primary therapy,1,,,,1,6,,1 kHz
