reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD013274-bib-0001,"Abelson J, Forrest PG, Eyles J. ",Will it make a difference if I show up and share? A citizens’ perspective on improving public involvement processes for health system decision-making, Journal of Health Services Research & Policy ,2004,9,    ,['citation-journal']," Abelson J, Forrest PG, Eyles J. Will it make a difference if I show up and share? A citizens’ perspective on improving public involvement processes for health system decision-making.  Journal of Health Services Research & Policy 2004;9(4):205–12. CENTRAL [DOI: 10.1258/1355819042250203]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1258/1355819042250203', 'https://www.ncbi.nlm.nih.gov/pubmed/15526385', 'https://scholar.google.com/scholar_lookup?title=Will+it+make+a+difference+if+I+show+up+and+share?+A+citizens’+perspective+on+improving+public+involvement+processes+for+health+system+decision-making+&author=J+Abelson&author=PG+Forrest&author=J+Eyles&publication_year=2004&hl=en']",15526385,https://doi.org/10.1258/1355819042250203, Abelson 2004 {published data only}  ,included,CD013274-bbs2-0001,,,,15526385,80.0,,,15526385
CD013274-bib-0002,"Attree P, Morris S, Payne S, Vaughan S, Hinder, S. ",Exploring the influence of service user involvement on health and social care services for cancer, Health Expectations: An International Journal of Public Participation in Health Care and Health Policy ,2011,14,    ,['citation-journal']," Attree P, Morris S, Payne S, Vaughan S, Hinder, S. Exploring the influence of service user involvement on health and social care services for cancer.  Health Expectations: An International Journal of Public Participation in Health Care and Health Policy 2011;14(1):48-58. CENTRAL [DOI: 10.1111/j.1369-7625.2010.00620.x]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1111/j.1369-7625.2010.00620.x', 'https://www.ncbi.nlm.nih.gov/pubmed/20673242', 'https://scholar.google.com/scholar_lookup?title=Exploring+the+influence+of+service+user+involvement+on+health+and+social+care+services+for+cancer+&author=P+Attree&author=S+Morris&author=S+Payne&author=S+Vaughan&publication_year=2011&hl=en']",20673242,https://doi.org/10.1111/j.1369-7625.2010.00620.x, Attree 2011 {published data only}  ,included,CD013274-bbs2-0002,,20673242,,20673242,37.0,https://europepmc.org/articles/pmc5060558?pdf=render,,20673242
CD013274-bib-0003,"Boivin A, Lehoux P, Burgers J, Grol R. ",What are the key ingredients for effective public involvement in health care improvement and policy decisions? A randomized trial process evaluation, Milbank Quarterly ,2014,92,    ,['citation-journal']," Boivin A, Lehoux P, Burgers J, Grol R. What are the key ingredients for effective public involvement in health care improvement and policy decisions? A randomized trial process evaluation.  Milbank Quarterly 2014;92(2):319–50. CENTRAL [DOI: 10.1111/1468-0009.12060]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1111/1468-0009.12060', 'https://www.ncbi.nlm.nih.gov/pubmed/24890250', 'https://scholar.google.com/scholar_lookup?title=What+are+the+key+ingredients+for+effective+public+involvement+in+health+care+improvement+and+policy+decisions?+A+randomized+trial+process+evaluation+&author=A+Boivin&author=P+Lehoux&author=J+Burgers&author=R+Grol&publication_year=2014&hl=en']",24890250,https://doi.org/10.1111/1468-0009.12060, Boivin 2014 {published data only}  ,included,CD013274-bbs2-0003,,24890250,24890250,24890250,130.0,https://doi.org/10.1111/1468-0009.12060,,24890250
CD013274-bib-0004,"Bukachi SA, Onyango-Ouma W, Siso JM, Nyamongo IK, Mutai JK, Hurtig AK, et al. ",Healthcare priority setting in Kenya: a gap analysis applying the accountability for reasonableness framework, International Journal of Health Planning and Management ,2014,29,    ,['citation-journal']," Bukachi SA, Onyango-Ouma W, Siso JM, Nyamongo IK, Mutai JK, Hurtig AK, et al. Healthcare priority setting in Kenya: a gap analysis applying the accountability for reasonableness framework.  International Journal of Health Planning and Management 2014;29:342-61. CENTRAL [DOI: http://doi.org/10.1002/hpm.2197]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1002/hpm.2197', 'https://www.ncbi.nlm.nih.gov/pubmed/23775594', 'https://scholar.google.com/scholar_lookup?title=Healthcare+priority+setting+in+Kenya:+a+gap+analysis+applying+the+accountability+for+reasonableness+framework+&author=SA+Bukachi&author=W+Onyango-Ouma&author=JM+Siso&author=IK+Nyamongo&author=JK+Mutai&author=AK+Hurtig&publication_year=2014&hl=en']",23775594,https://doi.org/10.1002/hpm.2197, Byskov 2014 {published data only}  ,included,CD013274-bbs2-0004,,,,23775594,25.0,,,23775594
CD013274-bib-0005,"Byskov J, Marchal B, Maluka S, Zulu JM, Bukachi SA, Hurtig AK, et al. ","The accountability for reasonableness approach to guide priority setting in health systems within limited resources-findings from action research at district level in Kenya, Tanzania, and Zambia", Health Research Policy and Systems ,2014,12,    ,['citation-journal']," Byskov J, Marchal B, Maluka S, Zulu JM, Bukachi SA, Hurtig AK, et al. The accountability for reasonableness approach to guide priority setting in health systems within limited resources-findings from action research at district level in Kenya, Tanzania, and Zambia.  Health Research Policy and Systems 2014;12:49. CENTRAL [DOI: 10.1186/1478-4505-12-49]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/1478-4505-12-49', 'https://www.ncbi.nlm.nih.gov/pubmed/25142148', 'https://scholar.google.com/scholar_lookup?title=The+accountability+for+reasonableness+approach+to+guide+priority+setting+in+health+systems+within+limited+resources-findings+from+action+research+at+district+level+in+Kenya,+Tanzania,+and+Zambia+&author=J+Byskov&author=B+Marchal&author=S+Maluka&author=JM+Zulu&author=SA+Bukachi&author=AK+Hurtig&publication_year=2014&hl=en']",25142148,https://doi.org/10.1186/1478-4505-12-49, Byskov 2014 {published data only}  ,included,CD013274-bbs2-0004,,,25142148,25142148,44.0,https://health-policy-systems.biomedcentral.com/counter/pdf/10.1186/1478-4505-12-49,,25142148
CD013274-bib-0006,"Maluka S, Kamuzora P, Sebastian MS, Byskov J, Olsen OE, Shayo E, et al. ",Decentralized health care priority-setting in Tanzania: Evaluating against the accountabilty for reasonableness framework, Social Science and Medicine ,2010,71,    ,['citation-journal']," Maluka S, Kamuzora P, Sebastian MS, Byskov J, Olsen OE, Shayo E, et al. Decentralized health care priority-setting in Tanzania: Evaluating against the accountabilty for reasonableness framework.  Social Science and Medicine 2010;71:751-9. CENTRAL [DOI: http://doi.org/10.1016/j.socscimed.2010.04.035]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1016/j.socscimed.2010.04.035', 'https://www.ncbi.nlm.nih.gov/pubmed/20554365', 'https://scholar.google.com/scholar_lookup?title=Decentralized+health+care+priority-setting+in+Tanzania:+Evaluating+against+the+accountabilty+for+reasonableness+framework+&author=S+Maluka&author=P+Kamuzora&author=MS+Sebastian&author=J+Byskov&author=OE+Olsen&author=E+Shayo&publication_year=2010&hl=en']",20554365,https://doi.org/10.1016/j.socscimed.2010.04.035, Byskov 2014 {published data only}  ,included,CD013274-bbs2-0004,,,,20554365,87.0,,,20554365
CD013274-bib-0007,"Zulu JM, Michelo C, Msoni C, Hurtig AK, Byskov J, Blystad A. ","Increased fairness in priority setting processes within the health sector: the case of Kapiri-Mposhi District, Zambia", BMC Helath Services Research ,2014,14,    ,['citation-journal']," Zulu JM, Michelo C, Msoni C, Hurtig AK, Byskov J, Blystad A. Increased fairness in priority setting processes within the health sector: the case of Kapiri-Mposhi District, Zambia.  BMC Helath Services Research 2014;14:75. CENTRAL [DOI: https://doi.org/10.1186/1472-6963-14-75]    Link to article     Google Scholar     ","['', 'https://doi.org/10.1186/1472-6963-14-75', 'https://scholar.google.com/scholar_lookup?title=Increased+fairness+in+priority+setting+processes+within+the+health+sector:+the+case+of+Kapiri-Mposhi+District,+Zambia+&author=JM+Zulu&author=C+Michelo&author=C+Msoni&author=AK+Hurtig&author=J+Byskov&author=A+Blystad&publication_year=2014&hl=en']",,https://doi.org/10.1186/1472-6963-14-75, Byskov 2014 {published data only}  ,included,CD013274-bbs2-0004,,24548767,24548767,24548767,35.0,https://bmchealthservres.biomedcentral.com/counter/pdf/10.1186/1472-6963-14-75,,24548767
CD013274-bib-0008,"Croft C, Currie G, Staniszewska S. ",Moving from rational to normative ideologies of control over public involvement: a case of continued managerial dominance, Social Science & Medicine ,2016,162,    ,['citation-journal']," Croft C, Currie G, Staniszewska S. Moving from rational to normative ideologies of control over public involvement: a case of continued managerial dominance.  Social Science & Medicine 2016;162:124-32. CENTRAL [DOI: 10.1016/j.socscimed.2016.06.010]    Link to article     Google Scholar     ","['', 'https://doi.org/10.1016/j.socscimed.2016.06.010', 'https://scholar.google.com/scholar_lookup?title=Moving+from+rational+to+normative+ideologies+of+control+over+public+involvement:+a+case+of+continued+managerial+dominance+&author=C+Croft&author=G+Currie&author=S+Staniszewska&publication_year=2016&hl=en']",,https://doi.org/10.1016/j.socscimed.2016.06.010, Croft 2016 {published data only}  ,included,CD013274-bbs2-0005,,27348609,27348609,27348609,18.0,http://wrap.warwick.ac.uk/79626/8/WRAP_1070920-wbs-100616-ssmrevisionsfeb29thfinal_3.pdf,,27348609
CD013274-bib-0009,"Currie G, Croft C, Chen Y, Kiefer T, Staniszewska S, Lilford RJ. ",The capacity of health servicecommissioners to use evidence: a case study, Health Service and Delivery Research ,2018,6,    ,['citation-journal']," Currie G, Croft C, Chen Y, Kiefer T, Staniszewska S, Lilford RJ. The capacity of health servicecommissioners to use evidence: a case study.  Health Service and Delivery Research 2018;6(12):No Pagination Specified. CENTRAL [DOI: http://doi.org/10.3310/hsdr06120]    Link to article     Google Scholar     ","['', 'https://doi.org/10.3310/hsdr06120', 'https://scholar.google.com/scholar_lookup?title=The+capacity+of+health+servicecommissioners+to+use+evidence:+a+case+study&author=G+Currie&author=C+Croft&author=Y+Chen&author=T+Kiefer&author=S+Staniszewska&author=RJ+Lilford&publication_year=2018&hl=en']",,https://doi.org/10.3310/hsdr06120, Croft 2016 {published data only}  ,included,CD013274-bbs2-0005,,29553690,,,10.0,https://njl-admin.nihr.ac.uk/document/download/2013119,,29553690
CD013274-bib-0010,"DeCamp LR, Gregory E, Polk S, Camacho CM, Giusti F, Thompson DA, et al. ",A voice and a vote: the advisory board experiences of spanish-speaking latina mothers, Hispanic Health Care International ,2015,13,    ,['citation-journal']," DeCamp LR, Gregory E, Polk S, Camacho CM, Giusti F, Thompson DA, et al. A voice and a vote: the advisory board experiences of spanish-speaking latina mothers.  Hispanic Health Care International 2015;13(4):217-26. CENTRAL [DOI: 10.1891/1540-4153.13.4.217]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1891/1540-4153.13.4.217', 'https://www.ncbi.nlm.nih.gov/pubmed/26671562', 'https://scholar.google.com/scholar_lookup?title=A+voice+and+a+vote:+the+advisory+board+experiences+of+spanish-speaking+latina+mothers&author=LR+DeCamp&author=E+Gregory&author=S+Polk&author=CM+Camacho&author=F+Giusti&author=DA+Thompson&publication_year=2015&hl=en']",26671562,https://doi.org/10.1891/1540-4153.13.4.217, DeCamp 2015 {published data only}  ,included,CD013274-bbs2-0006,,,,26671562,15.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4751862,,26671562
