Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
1.1 Change in vertigo frequency Show forest plot,1,114,"Mean Difference (IV, Random, 95% CI)","‐0.30 [‐1.83, 1.23]",Beta‐blockers versus placebo,1,-0.3,-1.83,1.23,1,1,,Change in vertigo frequency Show forest plot
1.2 Serious adverse events Show forest plot,1,121,"Risk Ratio (M‐H, Random, 95% CI)","0.63 [0.24, 1.67]",Beta‐blockers versus placebo,1,0.63,0.24,1.67,1,2,,Serious adverse events Show forest plot
1.3 Disease‐specific health‐related quality of life Show forest plot,1,90,"Mean Difference (IV, Random, 95% CI)","‐0.08 [‐0.63, 0.47]",Beta‐blockers versus placebo,1,-0.08,-0.63,0.47,1,3,,Disease‐specific health‐related quality of life Show forest plot
1.4 Change in headache frequency Show forest plot,1,91,"Mean Difference (IV, Random, 95% CI)","0.10 [‐1.87, 2.08]",Beta‐blockers versus placebo,1,0.1,-1.87,2.08,1,4,,Change in headache frequency Show forest plot
2.1 Improvement in vertigo severity Show forest plot,1,48,"Risk Ratio (M‐H, Random, 95% CI)","1.45 [1.01, 2.07]",Calcium channel blockers versus no intervention,2,1.45,1.01,2.07,2,1,,Improvement in vertigo severity Show forest plot
2.2 Improvement in vertigo frequency Show forest plot,1,23,"Risk Ratio (M‐H, Random, 95% CI)","1.65 [0.80, 3.41]",Calcium channel blockers versus no intervention,2,1.65,0.8,3.41,2,2,,Improvement in vertigo frequency Show forest plot
2.3 Change in vertigo frequency Show forest plot,1,23,"Mean Difference (IV, Random, 95% CI)","‐3.30 [‐5.94, ‐0.66]",Calcium channel blockers versus no intervention,2,-3.3,-5.94,-0.66,2,3,,Change in vertigo frequency Show forest plot
2.4 Improvement in headache Show forest plot,1,48,"Risk Ratio (M‐H, Random, 95% CI)","1.34 [0.88, 2.05]",Calcium channel blockers versus no intervention,2,1.34,0.88,2.05,2,4,,Improvement in headache Show forest plot
2.5 Other adverse effects Show forest plot,2,,"Peto Odds Ratio (Peto, Fixed, 95% CI)",Subtotals only,Calcium channel blockers versus no intervention,2,,,,2,5,,Other adverse effects Show forest plot
2.5.1 Drowsiness,2,71,"Peto Odds Ratio (Peto, Fixed, 95% CI)","3.85 [0.73, 20.26]",Calcium channel blockers versus no intervention,2,3.85,0.73,20.26,2,5,,Drowsiness
2.5.2 Weight gain,2,71,"Peto Odds Ratio (Peto, Fixed, 95% CI)","2.58 [0.35, 18.94]",Calcium channel blockers versus no intervention,2,2.58,0.35,18.94,2,5,,Weight gain
