reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD015187-bib-0001,"Bayer O, Adrion C, Al Tawil A, Mansmann U, Strupp M and PROVEMIG investigators. ",Results and lessons learnt from a randomized controlled trial: prophylactic treatment of vestibular migraine with metoprolol (PROVEMIG), Trials ,2019,20,    ,['citation-journal']," Bayer O, Adrion C, Al Tawil A, Mansmann U, Strupp M and PROVEMIG investigators. Results and lessons learnt from a randomized controlled trial: prophylactic treatment of vestibular migraine with metoprolol (PROVEMIG).  Trials 2019;20:813. CENTRAL [DOI: 10.1186/s13063-019-3903-5]    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1186/s13063-019-3903-5', 'https://www.ncbi.nlm.nih.gov/pubmed/31888723', 'https://scholar.google.com/scholar_lookup?title=Results+and+lessons+learnt+from+a+randomized+controlled+trial:+prophylactic+treatment+of+vestibular+migraine+with+metoprolol+(PROVEMIG)+&author=O+Bayer&author=C+Adrion&author=A+AlTawil&author=U+Mansmann&publication_year=2019&hl=en']",31888723,https://doi.org/10.1186/s13063-019-3903-5, Bayer 2019 {published data only}  ,included,CD015187-bbs2-0001,,31888723,31888723,31888723,33.0,https://trialsjournal.biomedcentral.com/track/pdf/10.1186/s13063-019-3903-5,,31888723
CD015187-bib-0002,DRKS00005040. ,"Prophylactic treatment of vestibular migraine with metoprolol: a double-blind, placebo-controlled trial",,,,   ,['citation-other']," DRKS00005040. Prophylactic treatment of vestibular migraine with metoprolol: a double-blind, placebo-controlled trial. https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00005040 (first received 22 August 2013). CENTRAL    ",[''],,, Bayer 2019 {published data only}  ,included,CD015187-bbs2-0001,,,,,,,,
CD015187-bib-0003,ISRCTN72824329. ,Prophylactic treatment of vestibular migraine with metoprolol,,,,   ,['citation-other']," ISRCTN72824329. Prophylactic treatment of vestibular migraine with metoprolol [Prophylactic treatment of vestibular migraine with metoprolol: a double-blind, placebo-controlled trial]. https://www.isrctn.com/ISRCTN72824329 (first received 19 August 2009). CENTRAL    ",[''],,, Bayer 2019 {published data only}  ,included,CD015187-bbs2-0001,,,,,,,,
CD015187-bib-0004,ISRCTN72824329. ,"Prophylactic treatment of vestibular migraine with metoprolol: a double-blind, placebo-controlled trial",,,,   ,['citation-other']," ISRCTN72824329. Prophylactic treatment of vestibular migraine with metoprolol: a double-blind, placebo-controlled trial. https://trialsearch.who.int/Trial2.aspx?TrialID=ISRCTN72824329 (first received 19 August 2009). CENTRAL    ",[''],,, Bayer 2019 {published data only}  ,included,CD015187-bbs2-0001,,,,,,,,
CD015187-bib-0005,CTRI/2012/07/002779. ,Frequency of migraine associated vertigo in patients visiting the audiovestibular clinic in a tertiary care hospital and response to specific treatment for migraine,,,,   ,['citation-other']," CTRI/2012/07/002779. Frequency of migraine associated vertigo in patients visiting the audiovestibular clinic in a tertiary care hospital and response to specific treatment for migraine. http://www.ctri.nic.in/Clinicaltrials/pdf_generate.php?trialid=4796&EncHid=&modid=&compid=%27,%274796det%27 (first received 9 July 2012). CENTRAL    ",[''],,, Lepcha 2014 {published data only}  ,included,CD015187-bbs2-0002,,,,,,,,
CD015187-bib-0006,"Lepcha A, Amalananthan S, Augustine AM, Tyagi AK, Balraj A. ",Flunarizine in the prophylaxis of migrainous vertigo: a randomized controlled trial, European Archives of Oto-Rhino-Laryngology ,2014,271,    ,['citation-journal']," Lepcha A, Amalananthan S, Augustine AM, Tyagi AK, Balraj A. Flunarizine in the prophylaxis of migrainous vertigo: a randomized controlled trial.  European Archives of Oto-Rhino-Laryngology 2014;271(11):2931-6. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1007/s00405-013-2786-4', 'https://www.ncbi.nlm.nih.gov/pubmed/24166742', 'https://scholar.google.com/scholar_lookup?title=Flunarizine+in+the+prophylaxis+of+migrainous+vertigo:+a+randomized+controlled+trial&author=A+Lepcha&author=S+Amalananthan&author=AM+Augustine&author=AK+Tyagi&author=A+Balraj&publication_year=2014&hl=en']",24166742,https://doi.org/10.1007/s00405-013-2786-4, Lepcha 2014 {published data only}  ,included,CD015187-bbs2-0002,,24166742,,24166742,91,,,24166742
CD015187-bib-0007,"Yuan Q, Liu DL, Yu LS, Zhang QF. ",Flunarizine in the prophylaxis of vestibular migraine: a randomized controlled trial, Lin Chuang Er Bi Yan Hou Ke za Zhi [Journal of Clinical Otorhinolaryngology] ,2016,30,    ,['citation-journal']," Yuan Q, Liu DL, Yu LS, Zhang QF. Flunarizine in the prophylaxis of vestibular migraine: a randomized controlled trial.  Lin Chuang Er Bi Yan Hou Ke za Zhi [Journal of Clinical Otorhinolaryngology] 2016;30(10):805-10. CENTRAL    Google Scholar     ","['', 'https://scholar.google.com/scholar_lookup?title=Flunarizine+in+the+prophylaxis+of+vestibular+migraine:+a+randomized+controlled+trial&author=Q+Yuan&author=DL+Liu&author=LS+Yu&author=QF+Zhang&publication_year=2016&hl=en']",,, Yuan 2016 {published data only}  ,included,CD015187-bbs2-0003,,,,,,,,
CD015187-bib-0008,ACTRN12616000683437. ,A test of the balance system in vestibular migraine,,,,   ,['citation-other'], ACTRN12616000683437. A test of the balance system in vestibular migraine [Diagnostic value of oVEMPs and cVEMPs in patients with vestibular migraine but without Meniere's disease]. https://anzctr.org.au/ACTRN12616000683437.aspx (first received 25 May 2016). CENTRAL    ,[''],,, ACTRN12616000683437 {published data only}  ,excluded,CD015187-bbs2-0004, This is not an RCT. It is trial registration for a non‐randomised study assessing the use of cervical and ocular vestibular evoked myogenic potential testing for diagnosis of vestibular migraine.   ,,,,,,,
CD015187-bib-0009,"Byun YJ, Levy DA, Nguyen SA, Brennan E, Rizk HG. ",Treatment of vestibular migraine: a systematic review and meta-analysis, Laryngoscope ,2021,131,    ,['citation-journal']," Byun YJ, Levy DA, Nguyen SA, Brennan E, Rizk HG. Treatment of vestibular migraine: a systematic review and meta-analysis.  Laryngoscope 2021;131(1):186-94. CENTRAL    Link to article     PubMed     Google Scholar     ","['', 'https://doi.org/10.1002/lary.28546', 'https://www.ncbi.nlm.nih.gov/pubmed/32083732', 'https://scholar.google.com/scholar_lookup?title=Treatment+of+vestibular+migraine:+a+systematic+review+and+meta-analysis&author=YJ+Byun&author=DA+Levy&author=SA+Nguyen&author=E+Brennan&author=HG+Rizk&publication_year=2021&hl=en']",32083732,https://doi.org/10.1002/lary.28546, Byun 2021 {published data only}  ,excluded,CD015187-bbs2-0005, This is a systematic review. The reference list has been checked to ensure that any relevant studies have been included.   ,,,32083732,68,,,32083732
CD015187-bib-0010,ChiCTR1800014766. ,Multi-center clinical study of patients with vertigo and migraine,,,,   ,['citation-other'], ChiCTR1800014766. Multi-center clinical study of patients with vertigo and migraine [Clinical characteristics and evaluation of vestibular eye movements in patients with vestibular migraine ]. http://www.chictr.org.cn/showproj.aspx?proj=24833 (first received 3 February 2018). CENTRAL    ,[''],,, ChiCTR1800014766 {published data only}  ,excluded,CD015187-bbs2-0006, This is not an RCT. It appears to be a prospective cohort study to assess the clinical features of people with vestibular migraine.   ,,,,,,,
